,price,y_pred,y_test
2004-10-28 14:09:59,90.99,1.0,-1.0
2004-10-28 14:15:00,90.97,1.0,0.0
2004-10-28 14:19:59,90.97,1.0,-1.0
2004-10-28 14:24:59,90.96,1.0,0.0
2004-10-28 14:29:59,90.96,1.0,1.0
2004-10-28 14:34:59,90.97,1.0,1.0
2004-10-28 14:40:00,90.98,1.0,0.0
2004-10-28 14:44:59,90.98,1.0,-1.0
2004-10-28 14:49:59,90.97,1.0,1.0
2004-10-28 14:54:59,90.99,1.0,1.0
2004-10-28 15:00:00,91.04,1.0,-1.0
2004-10-28 15:04:59,91.03,1.0,0.0
2004-10-28 15:09:59,91.03,1.0,0.0
2004-10-28 15:14:59,91.03,1.0,-1.0
2004-10-28 15:19:59,91.0,1.0,1.0
2004-10-28 15:25:00,91.02,1.0,-1.0
2004-10-28 15:29:59,91.0,-1.0,-1.0
2004-10-28 15:34:59,90.96,1.0,0.0
2004-10-28 15:39:59,90.96,-1.0,1.0
2004-10-28 15:45:00,90.97,1.0,0.0
2004-10-28 15:49:59,90.97,1.0,1.0
2004-10-28 15:54:59,90.99,1.0,-1.0
2004-10-28 15:59:59,90.96,-1.0,-1.0
2004-10-28 16:04:59,90.93,-1.0,-1.0
2004-10-28 16:10:00,90.92,-1.0,1.0
2004-10-28 16:14:59,90.94,1.0,1.0
2004-10-28 16:19:59,90.96,1.0,1.0
2004-10-28 16:24:59,91.01,1.0,-1.0
2004-10-28 16:30:00,90.99,1.0,1.0
2004-10-28 16:34:59,91.02,1.0,1.0
2004-10-28 16:39:59,91.03,1.0,1.0
2004-10-28 16:44:59,91.06,1.0,0.0
2004-10-28 16:49:59,91.06,-1.0,-1.0
2004-10-28 16:55:00,91.05,1.0,1.0
2004-10-28 16:59:59,91.06,-1.0,0.0
2004-10-28 17:04:59,91.06,-1.0,-1.0
2004-10-28 17:09:59,91.04,-1.0,0.0
2004-10-28 17:15:00,91.04,-1.0,1.0
2004-10-28 17:19:59,91.05,-1.0,0.0
2004-10-28 17:24:59,91.05,-1.0,0.0
2004-10-28 17:29:59,91.05,-1.0,1.0
2004-10-28 17:34:59,91.07,-1.0,1.0
