,price,y_pred,y_test
2004-12-09 17:49:59,85.83,0.0,1.0
2004-12-09 17:54:59,85.87,0.0,-1.0
2004-12-09 18:00:00,85.86,0.0,1.0
2004-12-09 18:04:59,85.89,0.0,-1.0
2004-12-09 18:09:59,85.85,1.0,0.0
2004-12-09 18:14:59,85.85,1.0,-1.0
2004-12-09 18:19:59,85.84,-1.0,-1.0
2004-12-09 18:25:00,85.83,1.0,1.0
2004-12-09 18:29:59,85.84,1.0,1.0
2004-12-09 18:34:59,85.85,1.0,1.0
2004-12-09 18:39:59,85.87,1.0,0.0
2004-12-09 18:45:00,85.87,1.0,-1.0
2004-12-09 18:49:59,85.84,1.0,-1.0
2004-12-09 18:54:59,85.76,1.0,1.0
2004-12-10 07:59:59,85.81,1.0,1.0
2004-12-10 08:04:59,85.83,1.0,1.0
2004-12-10 08:09:59,85.84,-1.0,0.0
2004-12-10 08:15:00,85.84,-1.0,1.0
2004-12-10 08:19:59,85.85,-1.0,1.0
2004-12-10 08:24:59,85.86,-1.0,1.0
2004-12-10 08:29:59,85.87,-1.0,-1.0
2004-12-10 08:34:59,85.86,-1.0,1.0
2004-12-10 08:40:00,85.88,-1.0,1.0
2004-12-10 08:44:59,85.89,-1.0,0.0
2004-12-10 08:49:59,85.89,-1.0,0.0
2004-12-10 08:54:59,85.89,-1.0,1.0
2004-12-10 09:00:00,85.93,-1.0,1.0
2004-12-10 09:04:59,85.96,-1.0,-1.0
2004-12-10 09:09:59,85.94,-1.0,-1.0
2004-12-10 09:14:59,85.91,-1.0,1.0
2004-12-10 09:19:59,85.93,1.0,-1.0
2004-12-10 09:25:00,85.92,1.0,0.0
2004-12-10 09:29:59,85.92,1.0,-1.0
2004-12-10 09:34:59,85.91,1.0,0.0
2004-12-10 09:39:59,85.91,1.0,1.0
2004-12-10 09:45:00,85.92,1.0,1.0
2004-12-10 09:49:59,85.99,1.0,1.0
2004-12-10 09:54:59,86.01,1.0,1.0
2004-12-10 09:59:59,86.02,1.0,-1.0
2004-12-10 10:04:59,86.01,-1.0,0.0
2004-12-10 10:10:00,86.01,1.0,-1.0
2004-12-10 10:14:59,85.99,1.0,1.0
2004-12-10 10:19:59,86.01,-1.0,-1.0
2004-12-10 10:24:59,85.99,-1.0,1.0
2004-12-10 10:30:00,86.0,-1.0,-1.0
2004-12-10 10:34:59,85.98,-1.0,1.0
2004-12-10 10:39:59,85.99,-1.0,-1.0
2004-12-10 10:44:59,85.97,-1.0,1.0
