,price,y_pred,y_test
2002-03-28 19:04:59,1.2068,1.0,-1.0
2002-03-28 19:10:00,1.2064,1.0,1.0
2002-03-28 19:14:59,1.207,1.0,0.0
2002-03-28 19:19:59,1.207,1.0,1.0
2002-03-28 19:24:59,1.2072,1.0,0.0
2002-03-28 19:30:00,1.2072,1.0,0.0
2002-03-28 19:34:59,1.2072,1.0,0.0
2002-03-28 19:39:59,1.2072,1.0,-1.0
2002-03-28 19:44:59,1.2068,1.0,0.0
2002-03-28 19:49:59,1.2068,1.0,-1.0
2002-03-28 19:55:00,1.2064,1.0,-1.0
2002-03-28 19:59:59,1.2062,1.0,-1.0
2002-03-28 20:04:59,1.2058,1.0,-1.0
2002-03-28 20:09:59,1.2056,1.0,-1.0
2002-03-28 20:15:00,1.2054,1.0,0.0
2002-03-28 20:19:59,1.2054,1.0,1.0
2002-03-28 20:24:59,1.2058,1.0,0.0
2002-03-28 20:29:59,1.2058,1.0,-1.0
2002-03-28 20:34:59,1.205,1.0,-1.0
2002-03-28 20:40:00,1.2044,1.0,1.0
2002-03-28 20:44:59,1.2048,1.0,1.0
2002-03-28 20:49:59,1.205,1.0,-1.0
2002-03-28 20:54:59,1.2044,1.0,1.0
2002-03-28 21:00:00,1.205,1.0,1.0
2002-03-28 21:04:59,1.2052,1.0,1.0
2002-03-28 21:09:59,1.2054,1.0,1.0
2002-03-28 21:14:59,1.2056,1.0,1.0
2002-03-28 21:19:59,1.2062,1.0,1.0
2002-03-28 21:25:00,1.2064,1.0,1.0
2002-03-28 21:29:59,1.2066,-1.0,0.0
2002-03-28 21:34:59,1.2066,-1.0,-1.0
2002-03-28 21:39:59,1.2064,1.0,-1.0
2002-03-28 21:45:00,1.2062,-1.0,0.0
2002-03-28 21:49:59,1.2062,-1.0,1.0
2002-03-28 21:54:59,1.2068,-1.0,1.0
2002-03-29 15:19:59,1.2072,-1.0,1.0
2002-03-29 15:25:00,1.2078,-1.0,-1.0
2002-03-29 15:29:59,1.207,-1.0,-1.0
2002-03-29 15:34:59,1.2068,-1.0,1.0
2002-03-29 15:39:59,1.2076,-1.0,1.0
