,price,y_pred,y_test
2012-11-10 09:45:00,116.32,1.0,-1.0
2012-11-10 09:49:59,116.12,1.0,1.0
2012-11-10 09:54:59,116.24,1.0,1.0
2012-11-10 09:59:59,116.54,-1.0,1.0
2012-11-10 10:04:59,116.78,-1.0,1.0
2012-11-10 10:10:00,117.12,-1.0,1.0
2012-11-10 10:14:59,117.14,-1.0,-1.0
2012-11-10 10:19:59,117.08,-1.0,1.0
2012-11-10 10:24:59,117.2,-1.0,0.0
2012-11-10 10:30:00,117.2,-1.0,-1.0
2012-11-10 10:34:59,117.12,-1.0,1.0
2012-11-10 10:39:59,117.34,-1.0,-1.0
2012-11-10 10:44:59,117.3,-1.0,-1.0
2012-11-10 10:49:59,117.26,-1.0,1.0
2012-11-10 10:55:00,117.4,-1.0,-1.0
2012-11-10 10:59:59,117.38,-1.0,1.0
2012-11-10 11:04:59,118.0,-1.0,-1.0
2012-11-10 11:09:59,117.96,-1.0,1.0
2012-11-10 11:15:00,118.46,-1.0,1.0
2012-11-10 11:19:59,118.74,-1.0,-1.0
2012-11-10 11:24:59,118.62,0.0,-1.0
2012-11-10 11:29:59,118.38,-1.0,1.0
2012-11-10 11:34:59,118.58,-1.0,-1.0
2012-11-10 11:40:00,118.36,0.0,1.0
2012-11-10 11:44:59,118.4,0.0,1.0
2012-11-10 11:49:59,118.42,0.0,-1.0
2012-11-10 11:54:59,118.32,0.0,1.0
2012-11-10 12:00:00,118.46,0.0,1.0
2012-11-10 12:04:59,118.52,0.0,-1.0
2012-11-10 12:09:59,118.4,0.0,1.0
2012-11-10 12:14:59,118.68,0.0,1.0
2012-11-10 12:19:59,118.7,0.0,0.0
2012-11-10 12:25:00,118.7,1.0,-1.0
2012-11-10 12:29:59,118.54,1.0,1.0
2012-11-10 12:34:59,118.62,0.0,1.0
2012-11-10 12:39:59,118.68,0.0,1.0
2012-11-10 12:45:00,118.72,0.0,-1.0
2012-11-10 12:49:59,118.6,0.0,1.0
2012-11-10 12:54:59,118.66,0.0,1.0
2012-11-10 12:59:59,118.96,0.0,-1.0
2012-11-10 13:04:59,118.7,0.0,1.0
2012-11-10 13:10:00,118.78,0.0,-1.0
2012-11-10 13:14:59,118.64,1.0,1.0
2012-11-10 13:19:59,118.8,1.0,1.0
2012-11-10 13:24:59,118.82,1.0,1.0
2012-11-10 13:30:00,118.96,1.0,1.0
2012-11-10 13:34:59,119.04,1.0,-1.0
2012-11-10 13:39:59,119.0,-1.0,0.0
2012-11-10 13:44:59,119.0,-1.0,-1.0
2012-11-10 13:49:59,118.82,-1.0,-1.0
2012-11-10 13:55:00,118.72,-1.0,1.0
2012-11-10 13:59:59,118.92,-1.0,-1.0
2012-11-10 14:04:59,118.84,-1.0,1.0
2012-11-10 14:09:59,118.96,-1.0,-1.0
2012-11-10 14:15:00,118.86,1.0,1.0
2012-11-10 14:19:59,118.9,-1.0,1.0
2012-11-10 14:24:59,118.98,1.0,1.0
2012-11-10 14:29:59,119.06,1.0,1.0
2012-11-10 14:34:59,119.12,-1.0,-1.0
2012-11-10 14:40:00,118.98,1.0,0.0
2012-11-10 14:44:59,118.98,1.0,1.0
2012-11-10 14:49:59,119.0,1.0,-1.0
2012-11-10 14:54:59,118.82,1.0,-1.0
2012-11-10 15:00:00,118.72,1.0,1.0
2012-11-10 15:04:59,118.74,1.0,1.0
2012-11-10 15:09:59,118.8,1.0,-1.0
2012-11-10 15:14:59,118.68,1.0,1.0
2012-11-10 15:19:59,118.7,1.0,1.0
2012-11-10 15:25:00,118.82,1.0,1.0
2012-11-10 15:29:59,118.92,1.0,1.0
2012-11-10 15:34:59,118.98,1.0,1.0
2012-11-10 15:39:59,119.18,1.0,1.0
2012-11-10 15:45:00,119.36,0.0,1.0
2012-11-10 15:49:59,119.52,0.0,-1.0
