,price,y_pred,y_test
2002-02-02 18:39:59,0.6267,0.0,-1.0
2002-02-02 18:45:00,0.6264,1.0,1.0
2002-02-02 18:49:59,0.6265,1.0,-1.0
2002-02-02 18:54:59,0.6264,-1.0,-1.0
2002-02-02 18:59:59,0.6263,1.0,1.0
2002-02-02 19:04:59,0.627,1.0,0.0
2002-02-02 19:10:00,0.627,1.0,1.0
2002-02-02 19:14:59,0.6275,1.0,1.0
2002-02-02 19:19:59,0.6278,-1.0,-1.0
2002-02-02 19:24:59,0.6274,1.0,-1.0
2002-02-02 19:30:00,0.6273,-1.0,1.0
2002-02-02 19:34:59,0.6274,-1.0,-1.0
2002-02-02 19:39:59,0.6273,-1.0,-1.0
2002-02-02 19:44:59,0.6271,-1.0,-1.0
2002-02-02 19:49:59,0.627,-1.0,1.0
2002-02-02 19:55:00,0.6273,-1.0,-1.0
2002-02-02 19:59:59,0.6268,-1.0,1.0
2002-02-02 20:04:59,0.6269,-1.0,-1.0
2002-02-02 20:09:59,0.6268,-1.0,-1.0
2002-02-02 20:15:00,0.6266,-1.0,-1.0
2002-02-02 20:19:59,0.6262,-1.0,1.0
2002-02-02 20:24:59,0.6265,-1.0,1.0
2002-02-02 20:29:59,0.6267,-1.0,1.0
2002-02-02 20:34:59,0.6268,-1.0,1.0
2002-02-02 20:40:00,0.627,-1.0,1.0
2002-02-02 20:44:59,0.6272,-1.0,1.0
2002-02-02 20:49:59,0.6273,-1.0,1.0
2002-02-02 20:54:59,0.6275,-1.0,1.0
2002-02-03 14:19:59,0.6283,-1.0,-1.0
2002-02-03 14:24:59,0.6281,-1.0,0.0
2002-02-03 14:29:59,0.6281,-1.0,1.0
2002-02-03 14:34:59,0.6287,-1.0,1.0
2002-02-03 14:40:00,0.629,-1.0,-1.0
2002-02-03 14:44:59,0.6288,-1.0,-1.0
2002-02-03 14:49:59,0.6285,-1.0,1.0
2002-02-03 14:54:59,0.6287,-1.0,0.0
2002-02-03 15:00:00,0.6287,-1.0,1.0
2002-02-03 15:04:59,0.6291,-1.0,0.0
2002-02-03 15:09:59,0.6291,-1.0,-1.0
2002-02-03 15:14:59,0.6288,-1.0,0.0
2002-02-03 15:19:59,0.6288,-1.0,0.0
2002-02-03 15:25:00,0.6288,-1.0,1.0
2002-02-03 15:29:59,0.6295,-1.0,1.0
2002-02-03 15:34:59,0.6296,-1.0,-1.0
2002-02-03 15:39:59,0.6293,-1.0,1.0
2002-02-03 15:45:00,0.6295,-1.0,-1.0
2002-02-03 15:49:59,0.6294,-1.0,0.0
2002-02-03 15:54:59,0.6294,-1.0,0.0
2002-02-03 15:59:59,0.6294,-1.0,1.0
2002-02-03 16:04:59,0.6295,-1.0,1.0
2002-02-03 16:10:00,0.6297,-1.0,-1.0
2002-02-03 16:14:59,0.6295,-1.0,1.0
2002-02-03 16:19:59,0.6302,-1.0,-1.0
