,price,y_pred,y_test
2009-06-26 11:09:59,136.17,-1.0,1.0
2009-06-26 11:15:00,136.21,-1.0,-1.0
2009-06-26 11:19:59,136.2,-1.0,0.0
2009-06-26 11:24:59,136.2,-1.0,1.0
2009-06-26 11:29:59,136.28,-1.0,-1.0
2009-06-26 11:34:59,136.23,-1.0,1.0
2009-06-26 11:40:00,136.48,-1.0,1.0
2009-06-26 11:44:59,136.68,-1.0,1.0
2009-06-26 11:49:59,136.99,-1.0,-1.0
2009-06-26 11:54:59,136.69,-1.0,-1.0
2009-06-26 12:00:00,136.54,-1.0,-1.0
2009-06-26 12:04:59,136.47,-1.0,1.0
2009-06-26 12:09:59,136.52,-1.0,1.0
2009-06-26 12:14:59,136.54,-1.0,-1.0
2009-06-26 12:19:59,136.26,-1.0,1.0
2009-06-26 12:25:00,136.47,-1.0,1.0
2009-06-26 12:29:59,136.5,-1.0,1.0
2009-06-26 12:34:59,136.51,-1.0,1.0
2009-06-26 12:39:59,136.57,-1.0,-1.0
2009-06-26 12:45:00,136.56,-1.0,-1.0
2009-06-26 12:49:59,136.48,-1.0,-1.0
2009-06-26 12:54:59,136.43,-1.0,1.0
2009-06-26 12:59:59,136.53,-1.0,-1.0
2009-06-26 13:04:59,136.44,-1.0,1.0
2009-06-26 13:10:00,136.58,-1.0,-1.0
2009-06-26 13:14:59,136.53,-1.0,-1.0
2009-06-26 13:19:59,136.5,-1.0,1.0
2009-06-26 13:24:59,136.56,-1.0,1.0
2009-06-26 13:30:00,136.67,-1.0,1.0
2009-06-26 13:34:59,136.77,-1.0,1.0
2009-06-26 13:39:59,136.85,-1.0,1.0
2009-06-26 13:44:59,136.88,-1.0,-1.0
2009-06-26 13:49:59,136.68,-1.0,-1.0
2009-06-26 13:55:00,136.55,-1.0,-1.0
2009-06-26 13:59:59,136.44,-1.0,1.0
2009-06-26 14:04:59,136.66,-1.0,-1.0
2009-06-26 14:09:59,136.58,-1.0,1.0
2009-06-26 14:15:00,136.72,-1.0,1.0
2009-06-26 14:19:59,136.94,-1.0,-1.0
2009-06-26 14:24:59,136.65,-1.0,-1.0
2009-06-26 14:29:59,136.6,-1.0,1.0
2009-06-26 14:34:59,136.78,-1.0,-1.0
2009-06-26 14:40:00,136.38,-1.0,1.0
2009-06-26 14:44:59,136.58,-1.0,-1.0
2009-06-26 14:49:59,136.51,-1.0,-1.0
2009-06-26 14:54:59,136.5,-1.0,-1.0
2009-06-26 15:00:00,136.15,-1.0,-1.0
2009-06-26 15:04:59,135.89,-1.0,1.0
2009-06-26 15:09:59,136.14,-1.0,-1.0
2009-06-26 15:14:59,135.98,-1.0,-1.0
2009-06-26 15:19:59,135.49,-1.0,-1.0
2009-06-26 15:25:00,135.3,-1.0,1.0
2009-06-26 15:29:59,135.48,1.0,1.0
2009-06-26 15:34:59,135.68,1.0,-1.0
2009-06-26 15:39:59,135.38,-1.0,1.0
2009-06-26 15:45:00,135.59,-1.0,0.0
2009-06-26 15:49:59,135.59,-1.0,1.0
2009-06-26 15:54:59,135.92,-1.0,-1.0
2009-06-26 15:59:59,135.91,1.0,1.0
2009-06-26 16:04:59,135.95,-1.0,1.0
2009-06-26 16:10:00,136.15,-1.0,1.0
2009-06-26 16:14:59,136.43,-1.0,-1.0
2009-06-26 16:19:59,136.31,-1.0,-1.0
2009-06-26 16:24:59,136.27,-1.0,1.0
2009-06-26 16:30:00,136.38,-1.0,-1.0
2009-06-26 16:34:59,136.08,-1.0,-1.0
2009-06-26 16:39:59,136.04,-1.0,-1.0
2009-06-26 16:44:59,135.93,-1.0,-1.0
2009-06-26 16:49:59,135.78,-1.0,-1.0
2009-06-26 16:55:00,135.57,-1.0,0.0
2009-06-26 16:59:59,135.57,-1.0,1.0
2009-06-26 17:04:59,135.87,-1.0,1.0
2009-06-26 17:09:59,135.91,-1.0,-1.0
2009-06-26 17:15:00,135.7,-1.0,1.0
2009-06-26 17:19:59,135.9,-1.0,-1.0
2009-06-26 17:24:59,135.87,1.0,0.0
2009-06-26 17:29:59,135.87,-1.0,-1.0
2009-06-26 17:34:59,135.8,-1.0,-1.0
2009-06-26 17:40:00,135.59,1.0,-1.0
2009-06-26 17:44:59,135.54,1.0,-1.0
2009-06-26 17:49:59,135.28,1.0,1.0
2009-06-26 17:54:59,135.29,1.0,1.0
2009-06-26 18:00:00,135.54,1.0,1.0
2009-06-26 18:04:59,135.88,1.0,-1.0
2009-06-26 18:09:59,135.74,1.0,1.0
2009-06-26 18:14:59,135.82,1.0,-1.0
2009-06-26 18:19:59,135.73,-1.0,-1.0
2009-06-26 18:25:00,135.65,-1.0,-1.0
2009-06-26 18:29:59,135.56,-1.0,1.0
2009-06-26 18:34:59,135.86,-1.0,-1.0
2009-06-26 18:39:59,135.62,-1.0,1.0
2009-06-26 18:45:00,135.7,-1.0,1.0
2009-06-26 18:49:59,135.82,-1.0,-1.0
2009-06-26 18:54:59,135.76,-1.0,-1.0
2009-06-26 18:59:59,135.55,-1.0,1.0
2009-06-26 19:04:59,135.69,-1.0,1.0
