,price,y_pred,y_test
2012-12-04,111.98,-1.0,1.0
2012-12-04,112.0,-1.0,-1.0
2012-12-04,111.84,-1.0,1.0
2012-12-04,112.06,-1.0,-1.0
2012-12-04,112.0,-1.0,-1.0
2012-12-04,111.92,-1.0,1.0
2012-12-04,112.04,1.0,-1.0
2012-12-04,111.98,-1.0,1.0
2012-12-04,112.06,-1.0,-1.0
2012-12-04,112.04,-1.0,1.0
2012-12-04,112.1,-1.0,1.0
2012-12-04,112.42,-1.0,1.0
2012-12-04,112.46,-1.0,1.0
2012-12-04,112.6,1.0,-1.0
2012-12-04,112.58,-1.0,-1.0
2012-12-04,112.56,1.0,0.0
2012-12-04,112.56,1.0,-1.0
2012-12-04,112.44,-1.0,-1.0
2012-12-04,112.34,-1.0,-1.0
2012-12-04,112.32,-1.0,1.0
2012-12-04,112.44,-1.0,1.0
2012-12-04,112.48,-1.0,-1.0
2012-12-04,112.42,-1.0,1.0
2012-12-04,112.46,-1.0,-1.0
2012-12-04,112.24,-1.0,0.0
2012-12-04,112.24,-1.0,1.0
2012-12-04,112.3,-1.0,-1.0
2012-12-04,112.26,-1.0,1.0
2012-12-04,112.28,-1.0,-1.0
2012-12-04,112.2,-1.0,-1.0
2012-12-04,112.16,-1.0,-1.0
2012-12-04,112.14,-1.0,1.0
2012-12-04,112.22,-1.0,1.0
2012-12-04,112.34,-1.0,1.0
2012-12-04,112.44,-1.0,1.0
2012-12-04,112.48,-1.0,1.0
2012-12-04,112.52,-1.0,1.0
2012-12-04,112.6,-1.0,1.0
2012-12-04,112.62,-1.0,-1.0
2012-12-04,112.56,-1.0,0.0
2012-12-04,112.56,-1.0,-1.0
2012-12-04,112.52,-1.0,-1.0
2012-12-04,112.44,-1.0,1.0
2012-12-04,112.62,-1.0,-1.0
2012-12-04,112.56,-1.0,0.0
2012-12-04,112.56,-1.0,1.0
2012-12-04,112.66,1.0,-1.0
2012-12-04,112.64,-1.0,-1.0
2012-12-04,112.56,-1.0,-1.0
2012-12-04,112.52,-1.0,1.0
2012-12-04,112.62,1.0,1.0
2012-12-04,112.64,1.0,-1.0
2012-12-04,112.16,1.0,1.0
2012-12-04,112.2,1.0,1.0
2012-12-04,112.48,1.0,-1.0
2012-12-04,112.4,1.0,1.0
2012-12-04,112.52,1.0,1.0
2012-12-04,112.58,1.0,-1.0
2012-12-04,112.56,-1.0,0.0
2012-12-04,112.56,-1.0,1.0
2012-12-04,112.58,1.0,-1.0
2012-12-04,112.5,1.0,-1.0
2012-12-04,112.34,1.0,-1.0
2012-12-04,112.32,1.0,1.0
2012-12-04,112.42,1.0,1.0
2012-12-04,112.44,1.0,-1.0
2012-12-04,112.28,1.0,1.0
2012-12-04,112.34,1.0,-1.0
2012-12-04,112.32,-1.0,1.0
2012-12-04,112.5,-1.0,1.0
2012-12-04,112.62,1.0,1.0
2012-12-04,112.7,-1.0,1.0
2012-12-04,112.78,-1.0,-1.0
2012-12-04,112.76,-1.0,-1.0
2012-12-04,112.62,-1.0,-1.0
2012-12-04,112.38,-1.0,-1.0
2012-12-04,112.28,-1.0,-1.0
2012-12-04,112.26,-1.0,-1.0
2012-12-04,112.24,1.0,1.0
2012-12-04,112.38,-1.0,-1.0
2012-12-04,112.36,-1.0,1.0
2012-12-04,112.52,-1.0,0.0
2012-12-04,112.52,-1.0,0.0
2012-12-04,112.52,-1.0,0.0
2012-12-04,112.52,-1.0,0.0
2012-12-04,112.52,-1.0,-1.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,1.0
2012-12-04,112.48,1.0,0.0
2012-12-04,112.48,-1.0,-1.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,-1.0
2012-12-04,112.22,-1.0,0.0
2012-12-04,112.22,1.0,0.0
2012-12-04,112.22,1.0,-1.0
2012-12-04,112.2,1.0,0.0
2012-12-04,112.2,-1.0,0.0
2012-12-04,112.2,1.0,0.0
2012-12-04,112.2,-1.0,0.0
2012-12-04,112.2,1.0,0.0
2012-12-04,112.2,1.0,0.0
2012-12-04,112.2,-1.0,0.0
2012-12-04,112.2,-1.0,0.0
2012-12-04,112.2,-1.0,0.0
2012-12-04,112.2,1.0,0.0
2012-12-04,112.2,-1.0,0.0
2012-12-04,112.2,-1.0,-1.0
2012-12-04,111.96,-1.0,0.0
2012-12-04,111.96,-1.0,0.0
2012-12-04,111.96,-1.0,0.0
2012-12-04,111.96,-1.0,0.0
2012-12-04,111.96,-1.0,-1.0
2012-12-04,111.78,-1.0,1.0
2012-12-04,111.96,-1.0,-1.0
2012-12-04,111.82,-1.0,-1.0
2012-12-04,111.8,-1.0,1.0
2012-12-04,112.08,1.0,1.0
2012-12-04,112.3,-1.0,-1.0
2012-12-04,112.06,1.0,1.0
2012-12-04,112.2,1.0,-1.0
2012-12-04,112.18,1.0,1.0
2012-12-04,112.22,1.0,-1.0
2012-12-04,112.14,1.0,0.0
2012-12-04,112.14,1.0,-1.0
2012-12-04,112.08,-1.0,1.0
2012-12-04,112.22,1.0,1.0
2012-12-04,112.42,-1.0,1.0
2012-12-04,112.46,-1.0,-1.0
2012-12-04,112.42,-1.0,1.0
2012-12-04,112.44,-1.0,-1.0
2012-12-04,112.4,-1.0,-1.0
2012-12-04,112.08,-1.0,-1.0
2012-12-04,111.84,-1.0,1.0
2012-12-04,112.06,-1.0,-1.0
2012-12-04,112.02,-1.0,1.0
2012-12-04,112.34,-1.0,1.0
2012-12-04,112.38,-1.0,-1.0
2012-12-04,112.32,-1.0,0.0
2012-12-04,112.32,-1.0,-1.0
2012-12-04,112.2,-1.0,-1.0
2012-12-04,111.96,1.0,-1.0
2012-12-04,111.88,-1.0,1.0
2012-12-04,111.96,1.0,1.0
2012-12-04,111.98,1.0,1.0
2012-12-04,112.32,-1.0,-1.0
2012-12-04,112.3,-1.0,1.0
2012-12-04,112.32,-1.0,-1.0
2012-12-04,112.2,-1.0,1.0
2012-12-04,112.42,-1.0,1.0
2012-12-04,112.54,-1.0,-1.0
2012-12-04,112.42,-1.0,-1.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,0.0
2012-12-04,112.4,-1.0,-1.0
2012-12-04,112.26,-1.0,-1.0
2012-12-04,112.02,-1.0,-1.0
2012-12-04,111.98,-1.0,1.0
2012-12-04,112.02,1.0,-1.0
2012-12-04,111.94,1.0,1.0
2012-12-04,112.02,1.0,1.0
2012-12-04,112.1,1.0,-1.0
2012-12-04,112.02,1.0,1.0
2012-12-04,112.1,1.0,-1.0
2012-12-04,111.98,1.0,1.0
2012-12-04,112.02,1.0,1.0
2012-12-04,112.18,1.0,-1.0
2012-12-04,112.12,1.0,-1.0
2012-12-04,112.08,1.0,1.0
2012-12-04,112.1,1.0,0.0
2012-12-04,112.1,-1.0,1.0
2012-12-04,112.16,-1.0,1.0
2012-12-04,112.22,1.0,1.0
2012-12-04,112.3,-1.0,-1.0
2012-12-04,112.22,-1.0,1.0
2012-12-04,112.26,1.0,0.0
2012-12-04,112.26,-1.0,1.0
2012-12-04,112.3,-1.0,0.0
2012-12-04,112.3,1.0,-1.0
2012-12-04,112.2,-1.0,1.0
2012-12-04,112.28,1.0,1.0
2012-12-04,112.32,1.0,1.0
2012-12-04,112.34,-1.0,1.0
2012-12-04,112.36,-1.0,0.0
2012-12-04,112.36,-1.0,-1.0
2012-12-04,112.26,-1.0,1.0
2012-12-04,112.36,-1.0,1.0
2012-12-04,112.42,-1.0,-1.0
2012-12-04,112.38,-1.0,1.0
2012-12-04,112.4,-1.0,-1.0
2012-12-04,112.26,-1.0,1.0
2012-12-04,112.54,-1.0,1.0
2012-12-04,112.6,-1.0,1.0
2012-12-04,112.62,-1.0,1.0
2012-12-04,112.74,-1.0,-1.0
2012-12-04,112.72,-1.0,-1.0
2012-12-04,112.7,-1.0,1.0
2012-12-04,112.72,-1.0,-1.0
2012-12-04,112.66,-1.0,-1.0
2012-12-04,112.58,-1.0,-1.0
2012-12-04,112.56,-1.0,-1.0
2012-12-04,112.44,1.0,-1.0
2012-12-04,112.42,1.0,-1.0
2012-12-04,112.32,1.0,1.0
2012-12-04,112.4,1.0,0.0
2012-12-04,112.4,1.0,0.0
2012-12-04,112.4,-1.0,1.0
2012-12-04,112.42,1.0,1.0
2012-12-04,112.58,-1.0,1.0
2012-12-04,112.62,-1.0,1.0
2012-12-04,112.66,-1.0,1.0
2012-12-04,112.82,-1.0,-1.0
2012-12-04,112.7,0.0,-1.0
2012-12-04,112.68,1.0,0.0
2012-12-04,112.68,1.0,1.0
2012-12-04,112.82,1.0,-1.0
2012-12-04,112.8,1.0,-1.0
2012-12-04,112.7,1.0,1.0
2012-12-04,112.76,-1.0,-1.0
2012-12-04,112.74,-1.0,1.0
2012-12-04,112.82,-1.0,1.0
2012-12-04,112.84,-1.0,0.0
2012-12-04,112.84,-1.0,1.0
2012-12-04,113.12,-1.0,-1.0
2012-12-04,112.96,1.0,1.0
2012-12-04,113.1,1.0,-1.0
2012-12-04,113.06,-1.0,1.0
2012-12-04,113.2,1.0,-1.0
2012-12-04,113.08,1.0,1.0
2012-12-04,113.12,1.0,0.0
2012-12-04,113.12,-1.0,0.0
2012-12-04,113.12,1.0,1.0
2012-12-04,113.2,1.0,-1.0
2012-12-04,113.16,1.0,1.0
2012-12-04,113.18,1.0,0.0
2012-12-04,113.18,1.0,-1.0
2012-12-04,113.12,1.0,1.0
2012-12-04,113.14,1.0,1.0
2012-12-04,113.18,0.0,-1.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,0.0
2012-12-04,113.08,0.0,1.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,1.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,0.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,-1.0,0.0
2012-12-04,113.24,0.0,1.0
2012-12-04,113.42,0.0,1.0
2012-12-04,113.48,0.0,-1.0
2012-12-04,112.82,0.0,-1.0
2012-12-04,112.62,0.0,-1.0
2012-12-04,112.6,-1.0,-1.0
2012-12-04,112.58,0.0,0.0
2012-12-04,112.58,-1.0,1.0
2012-12-04,112.78,-1.0,0.0
2012-12-04,112.78,-1.0,0.0
2012-12-04,112.78,-1.0,0.0
2012-12-04,112.78,-1.0,1.0
2012-12-04,113.0,-1.0,1.0
2012-12-04,113.04,-1.0,0.0
2012-12-04,113.04,-1.0,1.0
2012-12-04,113.22,-1.0,1.0
2012-12-04,113.34,-1.0,-1.0
2012-12-04,113.18,-1.0,-1.0
2012-12-04,113.12,-1.0,1.0
2012-12-04,113.18,-1.0,-1.0
2012-12-04,113.0,-1.0,-1.0
2012-12-04,112.96,-1.0,1.0
2012-12-04,113.06,-1.0,1.0
2012-12-04,113.24,-1.0,-1.0
2012-12-04,113.2,-1.0,1.0
2012-12-04,113.22,-1.0,1.0
2012-12-04,113.28,-1.0,1.0
2012-12-04,113.3,-1.0,-1.0
2012-12-04,113.28,-1.0,-1.0
2012-12-04,113.24,-1.0,-1.0
2012-12-04,113.1,-1.0,-1.0
2012-12-04,112.98,-1.0,1.0
2012-12-04,113.02,-1.0,1.0
2012-12-04,113.34,-1.0,1.0
2012-12-04,113.4,-1.0,1.0
2012-12-04,113.46,-1.0,-1.0
2012-12-04,113.4,1.0,1.0
2012-12-04,113.42,-1.0,0.0
2012-12-04,113.42,-1.0,1.0
2012-12-04,113.66,-1.0,1.0
2012-12-04,113.7,-1.0,1.0
2012-12-04,113.92,-1.0,-1.0
2012-12-04,113.88,-1.0,-1.0
2012-12-04,113.72,-1.0,1.0
2012-12-04,113.78,-1.0,-1.0
2012-12-04,113.72,-1.0,1.0
2012-12-04,113.82,-1.0,1.0
2012-12-04,114.04,-1.0,0.0
2012-12-04,114.04,-1.0,1.0
2012-12-04,114.1,-1.0,-1.0
2012-12-04,113.9,-1.0,1.0
2012-12-04,113.96,-1.0,1.0
2012-12-04,114.04,-1.0,1.0
2012-12-04,114.1,-1.0,1.0
2012-12-04,114.16,-1.0,1.0
2012-12-04,114.2,-1.0,-1.0
2012-12-04,114.04,-1.0,0.0
2012-12-04,114.04,-1.0,-1.0
2012-12-04,113.98,-1.0,0.0
2012-12-04,113.98,-1.0,1.0
2012-12-04,114.06,0.0,0.0
2012-12-04,114.06,-1.0,-1.0
2012-12-04,114.04,-1.0,-1.0
2012-12-04,113.88,-1.0,0.0
2012-12-04,113.88,-1.0,1.0
2012-12-04,114.0,-1.0,1.0
2012-12-04,114.02,-1.0,0.0
2012-12-04,114.02,-1.0,-1.0
2012-12-04,113.88,-1.0,1.0
2012-12-04,113.92,-1.0,0.0
2012-12-04,113.92,-1.0,-1.0
2012-12-04,113.9,-1.0,1.0
2012-12-04,113.96,-1.0,0.0
2012-12-04,113.96,-1.0,1.0
2012-12-04,113.98,-1.0,1.0
2012-12-04,114.02,-1.0,-1.0
2012-12-04,114.0,1.0,0.0
2012-12-04,114.0,1.0,1.0
2012-12-04,114.04,1.0,1.0
2012-12-04,114.54,1.0,1.0
2012-12-04,114.74,0.0,-1.0
2012-12-04,114.58,-1.0,-1.0
2012-12-04,114.2,-1.0,-1.0
2012-12-04,114.16,-1.0,0.0
2012-12-04,114.16,-1.0,1.0
2012-12-04,114.38,-1.0,1.0
2012-12-04,114.42,-1.0,1.0
2012-12-04,114.56,-1.0,0.0
2012-12-04,114.56,-1.0,-1.0
2012-12-04,114.52,-1.0,1.0
2012-12-04,114.54,1.0,1.0
2012-12-04,114.72,1.0,1.0
2012-12-04,114.82,1.0,1.0
2012-12-04,114.94,-1.0,1.0
2012-12-04,115.08,-1.0,1.0
2012-12-04,115.1,-1.0,-1.0
2012-12-04,115.04,-1.0,-1.0
2012-12-04,114.96,-1.0,1.0
2012-12-04,114.98,-1.0,1.0
2012-12-04,115.1,1.0,1.0
2012-12-04,115.22,1.0,1.0
2012-12-04,115.24,-1.0,1.0
2012-12-04,115.34,1.0,1.0
2012-12-04,115.7,1.0,-1.0
2012-12-04,115.68,-1.0,-1.0
2012-12-04,115.46,-1.0,1.0
2012-12-04,115.48,-1.0,-1.0
2012-12-04,115.38,-1.0,0.0
2012-12-04,115.38,-1.0,1.0
2012-12-04,115.44,-1.0,1.0
2012-12-04,115.48,-1.0,-1.0
2012-12-04,115.46,-1.0,-1.0
2012-12-04,115.32,-1.0,-1.0
2012-12-04,115.28,-1.0,1.0
2012-12-04,115.4,1.0,-1.0
2012-12-04,115.32,1.0,-1.0
2012-12-04,115.18,1.0,-1.0
2012-12-04,115.1,1.0,1.0
2012-12-04,115.26,1.0,1.0
2012-12-04,115.3,1.0,-1.0
2012-12-04,115.24,1.0,0.0
2012-12-04,115.24,1.0,0.0
2012-12-04,115.24,1.0,-1.0
2012-12-04,115.16,-1.0,-1.0
2012-12-04,115.12,0.0,0.0
