,price,y_pred,y_test
2006-06-11 00:19:59,1.2526,1.0,0.0
2006-06-11 00:25:00,1.2525,1.0,0.0
2006-06-11 00:29:59,1.2525,1.0,-1.0
2006-06-11 00:34:59,1.2523,1.0,1.0
2006-06-11 00:39:59,1.2525,1.0,-1.0
2006-06-11 00:45:00,1.2523,1.0,0.0
2006-06-11 00:49:59,1.2522,1.0,1.0
2006-06-11 00:54:59,1.2526,1.0,0.0
2006-06-11 00:59:59,1.2527,1.0,0.0
2006-06-11 01:04:59,1.2526,1.0,0.0
2006-06-11 01:10:00,1.2525,1.0,1.0
2006-06-11 01:14:59,1.2527,1.0,-1.0
2006-06-11 01:19:59,1.2523,1.0,1.0
2006-06-11 01:24:59,1.2525,1.0,0.0
2006-06-11 01:30:00,1.2526,1.0,1.0
2006-06-11 01:34:59,1.2528,1.0,0.0
2006-06-11 01:39:59,1.2528,1.0,0.0
2006-06-11 01:44:59,1.2529,1.0,0.0
2006-06-11 01:49:59,1.253,1.0,0.0
2006-06-11 01:55:00,1.2529,1.0,1.0
2006-06-11 01:59:59,1.2533,-1.0,-1.0
2006-06-11 02:04:59,1.2531,-1.0,0.0
2006-06-11 02:09:59,1.2531,-1.0,-1.0
2006-06-11 02:15:00,1.2527,-1.0,0.0
2006-06-11 02:19:59,1.2527,-1.0,0.0
2006-06-11 02:24:59,1.2527,-1.0,1.0
2006-06-11 02:29:59,1.2531,-1.0,-1.0
2006-06-11 02:34:59,1.2529,-1.0,1.0
2006-06-11 02:40:00,1.2531,-1.0,0.0
2006-06-11 02:44:59,1.2531,-1.0,1.0
2006-06-11 02:49:59,1.2533,-1.0,-1.0
2006-06-11 02:54:59,1.253,-1.0,0.0
2006-06-11 03:00:00,1.253,0.0,1.0
2006-06-11 03:04:59,1.2533,-1.0,1.0
2006-06-11 03:09:59,1.2537,0.0,-1.0
2006-06-11 03:14:59,1.2535,-1.0,1.0
2006-06-11 03:19:59,1.2538,-1.0,-1.0
2006-06-11 03:25:00,1.2536,-1.0,0.0
2006-06-11 03:29:59,1.2536,-1.0,0.0
2006-06-11 03:34:59,1.2535,0.0,1.0
2006-06-11 03:39:59,1.2538,0.0,0.0
2006-06-11 03:45:00,1.2538,0.0,0.0
2006-06-11 03:49:59,1.2539,0.0,-1.0
2006-06-11 03:54:59,1.2536,0.0,-1.0
2006-06-11 03:59:59,1.2534,0.0,1.0
2006-06-11 04:04:59,1.2537,0.0,-1.0
2006-06-11 04:10:00,1.2532,1.0,0.0
2006-06-11 04:14:59,1.2533,0.0,1.0
2006-06-11 04:19:59,1.2535,0.0,-1.0
2006-06-11 04:24:59,1.253,0.0,0.0
2006-06-11 04:30:00,1.2529,0.0,1.0
2006-06-11 04:34:59,1.2531,0.0,0.0
2006-06-11 04:39:59,1.2531,0.0,-1.0
2006-06-11 04:44:59,1.2527,0.0,0.0
2006-06-11 04:49:59,1.2527,0.0,0.0
2006-06-11 04:55:00,1.2527,0.0,0.0
2006-06-11 04:59:59,1.2526,0.0,-1.0
2006-06-11 05:04:59,1.2523,0.0,0.0
2006-06-11 05:09:59,1.2524,0.0,0.0
2006-06-11 05:15:00,1.2525,0.0,0.0
2006-06-11 05:19:59,1.2525,0.0,0.0
2006-06-11 05:24:59,1.2526,0.0,0.0
2006-06-11 05:29:59,1.2526,0.0,0.0
2006-06-11 05:34:59,1.2525,0.0,0.0
2006-06-11 05:40:00,1.2524,0.0,1.0
2006-06-11 05:44:59,1.2528,0.0,0.0
2006-06-11 05:49:59,1.2527,0.0,0.0
2006-06-11 05:54:59,1.2527,0.0,1.0
2006-06-11 06:00:00,1.2533,0.0,1.0
2006-06-11 06:04:59,1.2537,0.0,-1.0
2006-06-11 06:09:59,1.2535,0.0,0.0
2006-06-11 06:14:59,1.2534,0.0,0.0
2006-06-11 06:19:59,1.2534,0.0,0.0
2006-06-11 06:25:00,1.2534,1.0,-1.0
2006-06-11 06:29:59,1.2531,1.0,-1.0
2006-06-11 06:34:59,1.2529,1.0,0.0
2006-06-11 06:39:59,1.2529,1.0,0.0
2006-06-11 06:45:00,1.253,1.0,-1.0
2006-06-11 06:49:59,1.2528,1.0,1.0
2006-06-11 06:54:59,1.253,1.0,-1.0
2006-06-11 06:59:59,1.2528,1.0,-1.0
2006-06-11 07:04:59,1.2519,1.0,-1.0
2006-06-11 07:10:00,1.2515,1.0,0.0
2006-06-11 07:14:59,1.2516,1.0,1.0
2006-06-11 07:19:59,1.2518,-1.0,1.0
2006-06-11 07:24:59,1.2526,0.0,0.0
2006-06-11 07:30:00,1.2526,-1.0,1.0
2006-06-11 07:34:59,1.253,1.0,-1.0
2006-06-11 07:39:59,1.2526,1.0,-1.0
2006-06-11 07:44:59,1.2521,1.0,1.0
2006-06-11 07:49:59,1.2523,1.0,0.0
2006-06-11 07:55:00,1.2523,1.0,0.0
2006-06-11 07:59:59,1.2522,0.0,0.0
2006-06-11 08:04:59,1.2521,1.0,-1.0
2006-06-11 08:09:59,1.2517,0.0,-1.0
2006-06-11 08:15:00,1.2509,0.0,1.0
