,price,y_pred,y_test
2002-04-01 21:19:59,88.643,-1.0,0.0
2002-04-01 21:25:00,88.643,0.0,-1.0
2002-04-01 21:29:59,88.638,0.0,0.0
2002-04-01 21:34:59,88.638,0.0,1.0
2002-04-01 21:39:59,88.643,-1.0,1.0
2002-04-01 21:45:00,88.648,0.0,1.0
2002-04-01 21:49:59,88.653,-1.0,-1.0
2002-04-01 21:54:59,88.648,-1.0,1.0
2002-04-04 14:19:59,88.678,0.0,0.0
2002-04-04 14:24:59,88.678,0.0,0.0
2002-04-04 14:29:59,88.678,-1.0,0.0
2002-04-04 14:34:59,88.678,-1.0,1.0
2002-04-04 14:40:00,88.683,-1.0,0.0
2002-04-04 14:44:59,88.683,-1.0,-1.0
2002-04-04 14:49:59,88.678,-1.0,0.0
2002-04-04 14:54:59,88.678,-1.0,0.0
2002-04-04 15:00:00,88.678,-1.0,0.0
2002-04-04 15:04:59,88.678,-1.0,-1.0
2002-04-04 15:09:59,88.673,-1.0,0.0
2002-04-04 15:14:59,88.673,-1.0,0.0
2002-04-04 15:19:59,88.673,-1.0,0.0
2002-04-04 15:25:00,88.673,-1.0,0.0
2002-04-04 15:29:59,88.673,-1.0,0.0
2002-04-04 15:34:59,88.673,-1.0,-1.0
2002-04-04 15:39:59,88.668,1.0,1.0
2002-04-04 15:45:00,88.673,1.0,0.0
2002-04-04 15:49:59,88.673,0.0,1.0
2002-04-04 15:54:59,88.678,0.0,-1.0
2002-04-04 15:59:59,88.608,1.0,1.0
2002-04-04 16:04:59,88.618,0.0,-1.0
2002-04-04 16:10:00,88.593,1.0,1.0
2002-04-04 16:14:59,88.608,1.0,-1.0
2002-04-04 16:19:59,88.598,1.0,-1.0
2002-04-04 16:24:59,88.593,1.0,-1.0
2002-04-04 16:30:00,88.588,1.0,1.0
2002-04-04 16:34:59,88.593,1.0,1.0
2002-04-04 16:39:59,88.598,-1.0,1.0
2002-04-04 16:44:59,88.608,-1.0,-1.0
2002-04-04 16:49:59,88.603,-1.0,-1.0
2002-04-04 16:55:00,88.598,-1.0,-1.0
2002-04-04 16:59:59,88.588,-1.0,0.0
2002-04-04 17:04:59,88.588,-1.0,0.0
2002-04-04 17:09:59,88.588,-1.0,1.0
2002-04-04 17:15:00,88.593,-1.0,-1.0
2002-04-04 17:19:59,88.588,-1.0,-1.0
2002-04-04 17:24:59,88.583,-1.0,-1.0
2002-04-04 17:29:59,88.578,-1.0,0.0
2002-04-04 17:34:59,88.578,-1.0,1.0
2002-04-04 17:40:00,88.583,0.0,0.0
2002-04-04 17:44:59,88.583,-1.0,1.0
2002-04-04 17:49:59,88.593,-1.0,0.0
2002-04-04 17:54:59,88.593,0.0,0.0
2002-04-04 18:00:00,88.593,0.0,0.0
2002-04-04 18:04:59,88.593,0.0,1.0
2002-04-04 18:09:59,88.598,0.0,0.0
2002-04-04 18:14:59,88.598,0.0,1.0
2002-04-04 18:19:59,88.618,0.0,0.0
2002-04-04 18:25:00,88.618,-1.0,0.0
2002-04-04 18:29:59,88.618,-1.0,0.0
2002-04-04 18:34:59,88.618,0.0,0.0
2002-04-04 18:39:59,88.618,-1.0,1.0
2002-04-04 18:45:00,88.628,-1.0,-1.0
2002-04-04 18:49:59,88.618,-1.0,-1.0
2002-04-04 18:54:59,88.613,0.0,0.0
2002-04-04 18:59:59,88.613,1.0,1.0
2002-04-04 19:04:59,88.618,-1.0,0.0
