,y_pred,y_test,price
2015-01-15 20:29:59,0.0,-1.0,396.75
2015-01-15 20:34:59,0.0,0.0,396.65
2015-01-15 20:40:00,0.0,-1.0,396.7
2015-01-15 20:44:59,0.0,-1.0,396.55
2015-01-15 20:49:59,0.0,-1.0,396.4
2015-01-15 20:54:59,1.0,-1.0,396.3
2015-01-15 21:00:00,1.0,-1.0,395.85
2015-01-15 21:04:59,0.0,1.0,395.7
2015-01-15 21:09:59,0.0,0.0,395.85
2015-01-15 21:14:59,0.0,-1.0,395.8
2015-01-15 21:19:59,1.0,0.0,395.7
2015-01-15 21:25:00,0.0,0.0,395.75
2015-01-15 21:29:59,0.0,0.0,395.7
2015-01-15 21:34:59,0.0,0.0,395.7
2015-01-15 21:39:59,0.0,1.0,395.65
2015-01-15 21:45:00,1.0,1.0,395.85
2015-01-15 21:49:59,0.0,-1.0,396.0
2015-01-15 21:54:59,1.0,0.0,395.85
2015-01-16 07:59:59,1.0,-1.0,395.9
2015-01-16 08:04:59,0.0,1.0,395.45
2015-01-16 08:09:59,0.0,0.0,395.75
2015-01-16 08:15:00,0.0,-1.0,395.75
2015-01-16 08:19:59,0.0,1.0,395.45
2015-01-16 08:24:59,0.0,1.0,395.55
2015-01-16 08:29:59,1.0,0.0,395.65
2015-01-16 08:34:59,0.0,0.0,395.65
2015-01-16 08:40:00,0.0,-1.0,395.6
2015-01-16 08:44:59,0.0,0.0,395.5
2015-01-16 08:49:59,0.0,-1.0,395.45
2015-01-16 08:54:59,0.0,-1.0,395.3
2015-01-16 09:00:00,1.0,1.0,394.35
2015-01-16 09:04:59,1.0,1.0,395.0
2015-01-16 09:09:59,0.0,0.0,395.5
2015-01-16 09:14:59,0.0,1.0,395.5
2015-01-16 09:19:59,0.0,0.0,395.9
2015-01-16 09:25:00,0.0,1.0,395.85
2015-01-16 09:29:59,0.0,0.0,396.1
2015-01-16 09:34:59,0.0,0.0,396.1
2015-01-16 09:39:59,0.0,0.0,396.1
2015-01-16 09:45:00,0.0,1.0,396.15
2015-01-16 09:49:59,0.0,-1.0,396.55
2015-01-16 09:54:59,0.0,1.0,396.4
2015-01-16 09:59:59,0.0,1.0,396.55
2015-01-16 10:04:59,0.0,1.0,396.95
2015-01-16 10:10:00,0.0,1.0,397.1
2015-01-16 10:14:59,0.0,-1.0,397.4
2015-01-16 10:19:59,0.0,0.0,397.15
2015-01-16 10:24:59,0.0,0.0,397.15
2015-01-16 10:30:00,0.0,0.0,397.2
2015-01-16 10:34:59,0.0,0.0,397.25
2015-01-16 10:39:59,0.0,0.0,397.2
2015-01-16 10:44:59,0.0,1.0,397.25
2015-01-16 10:49:59,0.0,0.0,397.35
2015-01-16 10:55:00,0.0,1.0,397.3
2015-01-16 10:59:59,1.0,1.0,397.4
2015-01-16 11:04:59,1.0,0.0,397.6
2015-01-16 11:09:59,1.0,-1.0,397.6
2015-01-16 11:15:00,1.0,-1.0,397.5
2015-01-16 11:19:59,1.0,0.0,397.35
2015-01-16 11:24:59,1.0,1.0,397.35
2015-01-16 11:29:59,1.0,0.0,397.65
2015-01-16 11:34:59,1.0,0.0,397.65
2015-01-16 11:40:00,1.0,0.0,397.7
2015-01-16 11:44:59,1.0,-1.0,397.7
2015-01-16 11:49:59,1.0,1.0,397.6
2015-01-16 11:54:59,1.0,1.0,397.75
2015-01-16 12:00:00,0.0,0.0,397.9
2015-01-16 12:04:59,0.0,1.0,397.85
2015-01-16 12:09:59,0.0,0.0,398.0
2015-01-16 12:14:59,0.0,0.0,397.95
2015-01-16 12:19:59,0.0,0.0,398.0
2015-01-16 12:25:00,0.0,0.0,398.0
2015-01-16 12:29:59,0.0,0.0,398.05
2015-01-16 12:34:59,0.0,0.0,398.0
2015-01-16 12:39:59,0.0,1.0,398.05
2015-01-16 12:45:00,0.0,0.0,398.25
2015-01-16 12:49:59,0.0,0.0,398.3
2015-01-16 12:54:59,0.0,-1.0,398.3
2015-01-16 12:59:59,0.0,-1.0,398.15
2015-01-16 13:04:59,1.0,1.0,398.0
2015-01-16 13:10:00,1.0,1.0,398.2
2015-01-16 13:14:59,1.0,0.0,398.35
2015-01-16 13:19:59,1.0,1.0,398.35
2015-01-16 13:24:59,-1.0,1.0,398.85
2015-01-16 13:30:00,0.0,-1.0,399.35
2015-01-16 13:34:59,0.0,0.0,399.25
