,y_pred,y_test,price
2003-08-18 20:34:59,1.0,1.0,933.75
2003-08-18 20:40:00,1.0,1.0,934.5
2003-08-18 20:44:59,1.0,-1.0,934.75
2003-08-18 20:49:59,1.0,1.0,934.0
2003-08-18 20:54:59,1.0,0.0,934.75
2003-08-18 21:00:00,1.0,1.0,934.75
2003-08-18 21:04:59,1.0,-1.0,937.25
2003-08-18 21:09:59,1.0,-1.0,937.0
2003-08-18 21:14:59,1.0,-1.0,936.0
2003-08-18 21:19:59,1.0,-1.0,935.0
2003-08-18 21:25:00,-1.0,-1.0,934.5
2003-08-18 21:29:59,1.0,-1.0,930.75
2003-08-18 21:34:59,1.0,1.0,929.0
2003-08-18 21:39:59,1.0,1.0,930.25
2003-08-18 21:45:00,1.0,-1.0,930.75
2003-08-18 21:49:59,1.0,-1.0,930.25
2003-08-18 21:54:59,1.0,1.0,929.75
2003-08-18 21:59:59,1.0,-1.0,931.0
2003-08-18 22:04:59,1.0,-1.0,930.25
2003-08-18 22:10:00,1.0,-1.0,929.75
2003-08-21 06:59:59,1.0,1.0,924.0
2003-08-21 07:04:59,-1.0,0.0,924.25
2003-08-21 07:10:00,1.0,0.0,924.25
2003-08-21 07:14:59,1.0,1.0,924.25
2003-08-21 07:19:59,1.0,1.0,924.5
2003-08-21 07:24:59,1.0,1.0,925.25
2003-08-21 07:30:00,1.0,1.0,925.75
2003-08-21 07:34:59,1.0,-1.0,926.0
2003-08-21 07:39:59,1.0,0.0,925.0
2003-08-21 07:44:59,1.0,0.0,925.0
2003-08-21 07:49:59,1.0,1.0,925.0
2003-08-21 07:55:00,1.0,0.0,925.25
2003-08-21 07:59:59,0.0,1.0,925.25
2003-08-21 08:04:59,0.0,0.0,925.75
2003-08-21 08:09:59,0.0,1.0,925.75
2003-08-21 08:15:00,0.0,0.0,926.25
2003-08-21 08:19:59,-1.0,0.0,926.25
2003-08-21 08:24:59,1.0,-1.0,926.25
2003-08-21 08:29:59,1.0,-1.0,925.75
2003-08-21 08:34:59,1.0,1.0,925.5
2003-08-21 08:40:00,1.0,0.0,927.0
2003-08-21 08:44:59,-1.0,0.0,927.0
2003-08-21 08:49:59,-1.0,1.0,927.0
2003-08-21 08:54:59,-1.0,-1.0,927.25
2003-08-21 09:00:00,-1.0,1.0,926.75
2003-08-21 09:04:59,-1.0,1.0,927.25
2003-08-21 09:09:59,-1.0,-1.0,927.5
2003-08-21 09:14:59,-1.0,1.0,927.0
2003-08-21 09:19:59,-1.0,1.0,927.5
2003-08-21 09:25:00,-1.0,1.0,927.75
2003-08-21 09:29:59,-1.0,1.0,928.75
2003-08-21 09:34:59,-1.0,1.0,929.25
2003-08-21 09:39:59,-1.0,1.0,929.75
2003-08-21 09:45:00,-1.0,-1.0,930.25
2003-08-21 09:49:59,-1.0,0.0,929.0
2003-08-21 09:54:59,-1.0,1.0,929.0
