,y_pred,y_test,price
2007-07-06 11:54:59,0.0,-1.0,5242.5
2007-07-06 12:00:00,-1.0,0.0,5240.5
2007-07-06 12:04:59,1.0,1.0,5241.0
2007-07-06 12:09:59,1.0,-1.0,5244.5
2007-07-06 12:14:59,1.0,1.0,5243.5
2007-07-06 12:19:59,1.0,-1.0,5245.0
2007-07-06 12:25:00,1.0,0.0,5243.5
2007-07-06 12:29:59,1.0,1.0,5243.0
2007-07-06 12:34:59,1.0,1.0,5245.0
2007-07-06 12:39:59,1.0,1.0,5247.0
2007-07-06 12:45:00,1.0,1.0,5248.0
2007-07-06 12:49:59,1.0,0.0,5249.0
2007-07-06 12:54:59,1.0,-1.0,5249.0
2007-07-06 12:59:59,1.0,0.0,5246.0
2007-07-06 13:04:59,1.0,0.0,5246.5
2007-07-06 13:10:00,1.0,1.0,5246.0
2007-07-06 13:14:59,1.0,-1.0,5247.5
2007-07-06 13:19:59,1.0,0.0,5246.5
2007-07-06 13:24:59,1.0,1.0,5247.0
2007-07-06 13:30:00,1.0,0.0,5248.5
2007-07-06 13:34:59,1.0,-1.0,5248.0
2007-07-06 13:39:59,1.0,0.0,5246.5
2007-07-06 13:44:59,1.0,-1.0,5246.5
2007-07-06 13:49:59,1.0,0.0,5244.5
2007-07-06 13:55:00,-1.0,1.0,5245.0
2007-07-06 13:59:59,-1.0,1.0,5246.0
2007-07-06 14:04:59,-1.0,0.0,5247.0
2007-07-06 14:09:59,-1.0,0.0,5247.0
2007-07-06 14:15:00,-1.0,0.0,5247.5
2007-07-06 14:19:59,-1.0,0.0,5247.5
2007-07-06 14:24:59,-1.0,-1.0,5248.0
2007-07-06 14:29:59,-1.0,0.0,5246.5
2007-07-06 14:34:59,-1.0,0.0,5246.5
2007-07-06 14:40:00,-1.0,0.0,5246.0
2007-07-06 14:44:59,-1.0,0.0,5246.0
2007-07-06 14:49:59,-1.0,1.0,5246.0
2007-07-06 14:54:59,-1.0,1.0,5247.0
2007-07-06 15:00:00,-1.0,1.0,5248.0
2007-07-06 15:04:59,-1.0,0.0,5249.5
2007-07-06 15:09:59,-1.0,0.0,5249.0
2007-07-06 15:14:59,-1.0,-1.0,5248.5
2007-07-06 15:19:59,-1.0,0.0,5247.5
2007-07-06 15:25:00,-1.0,1.0,5247.5
2007-07-06 15:29:59,-1.0,1.0,5248.5
2007-07-06 15:34:59,-1.0,-1.0,5249.5
2007-07-06 15:39:59,-1.0,0.0,5248.0
2007-07-06 15:45:00,-1.0,-1.0,5248.5
2007-07-06 15:49:59,-1.0,0.0,5247.5
2007-07-06 15:54:59,-1.0,1.0,5248.0
2007-07-06 15:59:59,-1.0,1.0,5252.0
2007-07-06 16:04:59,-1.0,-1.0,5254.0
2007-07-06 16:10:00,-1.0,1.0,5252.5
2007-07-06 16:14:59,-1.0,-1.0,5254.5
2007-07-06 16:19:59,-1.0,1.0,5253.0
2007-07-06 16:24:59,-1.0,-1.0,5254.5
2007-07-06 16:30:00,-1.0,-1.0,5252.0
2007-07-06 16:34:59,-1.0,1.0,5251.0
2007-07-06 16:39:59,1.0,-1.0,5252.5
2007-07-06 16:44:59,-1.0,1.0,5251.5
2007-07-06 16:49:59,-1.0,1.0,5253.5
2007-07-06 16:55:00,-1.0,1.0,5256.0
2007-07-06 16:59:59,-1.0,1.0,5259.5
2007-07-06 17:04:59,-1.0,1.0,5260.5
2007-07-06 17:09:59,1.0,-1.0,5262.0
2007-07-06 17:15:00,-1.0,1.0,5260.5
2007-07-06 17:19:59,1.0,1.0,5265.0
2007-07-06 17:24:59,1.0,-1.0,5271.5
2007-07-06 17:29:59,0.0,-1.0,5268.0
2007-07-06 17:34:59,0.0,1.0,5263.5
2007-07-06 17:40:00,-1.0,0.0,5265.0
2007-07-06 17:44:59,1.0,1.0,5265.5
2007-07-06 17:49:59,-1.0,1.0,5269.5
2007-07-06 17:54:59,-1.0,-1.0,5271.0
2007-07-06 18:00:00,1.0,-1.0,5268.5
2007-07-06 18:04:59,-1.0,-1.0,5267.0
2007-07-06 18:09:59,-1.0,1.0,5265.5
2007-07-06 18:14:59,-1.0,0.0,5266.5
2007-07-06 18:19:59,0.0,-1.0,5266.5
2007-07-06 18:25:00,0.0,-1.0,5264.0
2007-07-07 09:00:00,0.0,-1.0,5248.5
2007-07-07 09:04:59,-1.0,0.0,5241.5
2007-07-07 09:09:59,-1.0,1.0,5242.0
2007-07-07 09:14:59,-1.0,1.0,5244.5
2007-07-07 09:19:59,1.0,-1.0,5248.0
2007-07-07 09:25:00,-1.0,-1.0,5245.0
2007-07-07 09:29:59,-1.0,-1.0,5243.5
2007-07-07 09:34:59,-1.0,1.0,5237.5
2007-07-07 09:39:59,-1.0,-1.0,5241.0
2007-07-07 09:45:00,0.0,1.0,5237.0
2007-07-07 09:49:59,1.0,1.0,5240.0
2007-07-07 09:54:59,-1.0,-1.0,5241.0
2007-07-07 09:59:59,-1.0,1.0,5239.0
2007-07-07 10:04:59,-1.0,-1.0,5245.0
2007-07-07 10:10:00,1.0,-1.0,5242.5
2007-07-07 10:14:59,-1.0,0.0,5241.0
2007-07-07 10:19:59,1.0,0.0,5241.5
2007-07-07 10:24:59,1.0,-1.0,5242.0
2007-07-07 10:30:00,1.0,-1.0,5238.5
2007-07-07 10:34:59,1.0,-1.0,5235.5
2007-07-07 10:39:59,1.0,1.0,5230.5
2007-07-07 10:44:59,-1.0,1.0,5234.0
2007-07-07 10:49:59,1.0,-1.0,5237.5
2007-07-07 10:55:00,-1.0,0.0,5233.5
2007-07-07 10:59:59,-1.0,0.0,5233.5
2007-07-07 11:04:59,0.0,-1.0,5233.5
2007-07-07 11:09:59,-1.0,1.0,5230.5
2007-07-07 11:15:00,-1.0,1.0,5232.0
2007-07-07 11:19:59,-1.0,1.0,5233.0
2007-07-07 11:24:59,1.0,0.0,5235.5
2007-07-07 11:29:59,-1.0,-1.0,5235.5
2007-07-07 11:34:59,-1.0,-1.0,5232.5
2007-07-07 11:40:00,-1.0,-1.0,5231.0
2007-07-07 11:44:59,-1.0,1.0,5229.5
2007-07-07 11:49:59,1.0,0.0,5230.5
2007-07-07 11:54:59,1.0,0.0,5231.0
2007-07-07 12:00:00,0.0,1.0,5231.5
2007-07-07 12:04:59,0.0,1.0,5232.5
2007-07-07 12:09:59,0.0,0.0,5234.5
2007-07-07 12:14:59,1.0,-1.0,5234.5
2007-07-07 12:19:59,1.0,1.0,5230.5
2007-07-07 12:25:00,-1.0,0.0,5231.5
2007-07-07 12:29:59,-1.0,0.0,5231.5
2007-07-07 12:34:59,0.0,1.0,5231.0
2007-07-07 12:39:59,1.0,-1.0,5234.5
2007-07-07 12:45:00,-1.0,0.0,5232.5
2007-07-07 12:49:59,-1.0,-1.0,5232.5
2007-07-07 12:54:59,-1.0,-1.0,5230.5
2007-07-07 12:59:59,-1.0,1.0,5223.0
2007-07-07 13:04:59,1.0,0.0,5225.0
2007-07-07 13:10:00,0.0,-1.0,5225.5
2007-07-07 13:14:59,0.0,0.0,5221.5
2007-07-07 13:19:59,0.0,-1.0,5221.0
2007-07-07 13:24:59,-1.0,1.0,5217.0
2007-07-07 13:30:00,1.0,-1.0,5219.5
2007-07-07 13:34:59,1.0,0.0,5218.0
2007-07-07 13:39:59,-1.0,1.0,5218.0
2007-07-07 13:44:59,-1.0,-1.0,5223.0
2007-07-07 13:49:59,1.0,0.0,5222.0
2007-07-07 13:55:00,1.0,-1.0,5222.5
2007-07-07 13:59:59,1.0,0.0,5221.0
2007-07-07 14:04:59,-1.0,1.0,5221.5
2007-07-07 14:09:59,1.0,-1.0,5222.5
2007-07-07 14:15:00,1.0,0.0,5219.0
2007-07-07 14:19:59,-1.0,1.0,5218.5
2007-07-07 14:24:59,1.0,1.0,5224.5
2007-07-07 14:29:59,1.0,-1.0,5227.0
2007-07-07 14:34:59,-1.0,-1.0,5224.0
2007-07-07 14:40:00,-1.0,1.0,5223.0
2007-07-07 14:44:59,-1.0,1.0,5224.5
2007-07-07 14:49:59,1.0,-1.0,5227.5
2007-07-07 14:54:59,1.0,-1.0,5225.5
2007-07-07 15:00:00,0.0,0.0,5219.5
2007-07-07 15:04:59,-1.0,1.0,5219.5
2007-07-07 15:09:59,-1.0,0.0,5222.0
2007-07-07 15:14:59,-1.0,-1.0,5222.5
2007-07-07 15:19:59,1.0,-1.0,5221.5
2007-07-07 15:25:00,0.0,-1.0,5220.0
2007-07-07 15:29:59,-1.0,1.0,5217.5
2007-07-07 15:34:59,0.0,0.0,5219.0
2007-07-07 15:39:59,0.0,0.0,5219.0
2007-07-07 15:45:00,0.0,-1.0,5218.5
2007-07-07 15:49:59,-1.0,1.0,5212.5
2007-07-07 15:54:59,-1.0,-1.0,5213.5
2007-07-07 15:59:59,1.0,1.0,5209.5
2007-07-07 16:04:59,1.0,-1.0,5212.5
2007-07-07 16:10:00,-1.0,-1.0,5211.0
2007-07-07 16:14:59,1.0,0.0,5210.0
2007-07-07 16:19:59,1.0,0.0,5210.0
2007-07-07 16:24:59,-1.0,-1.0,5210.5
2007-07-07 16:30:00,1.0,-1.0,5209.5
2007-07-07 16:34:59,1.0,-1.0,5208.0
2007-07-07 16:39:59,1.0,1.0,5204.5
2007-07-07 16:44:59,1.0,0.0,5205.5
2007-07-07 16:49:59,1.0,0.0,5206.0
2007-07-07 16:55:00,1.0,-1.0,5205.5
2007-07-07 16:59:59,-1.0,1.0,5200.5
2007-07-07 17:04:59,-1.0,0.0,5205.0
2007-07-07 17:09:59,1.0,1.0,5204.5
2007-07-07 17:15:00,1.0,0.0,5207.5
2007-07-07 17:19:59,1.0,1.0,5207.0
2007-07-07 17:24:59,-1.0,0.0,5210.5
2007-07-07 17:29:59,-1.0,1.0,5211.0
2007-07-07 17:34:59,-1.0,-1.0,5222.5
2007-07-07 17:40:00,-1.0,1.0,5219.0
2007-07-07 17:44:59,-1.0,-1.0,5222.5
2007-07-07 17:49:59,-1.0,1.0,5221.0
2007-07-07 17:54:59,-1.0,0.0,5222.5
2007-07-07 18:00:00,-1.0,1.0,5223.0
2007-07-07 18:04:59,-1.0,0.0,5225.0
2007-07-07 18:09:59,-1.0,1.0,5225.5
2007-07-07 18:14:59,-1.0,-1.0,5226.5
2007-07-07 18:19:59,-1.0,1.0,5220.0
2007-07-07 18:25:00,-1.0,1.0,5224.5
2007-07-08 09:00:00,-1.0,1.0,5228.5
2007-07-08 09:04:59,1.0,0.0,5233.5
2007-07-08 09:09:59,1.0,1.0,5234.0
2007-07-08 09:14:59,1.0,1.0,5241.0
2007-07-08 09:19:59,1.0,-1.0,5249.0
2007-07-08 09:25:00,-1.0,1.0,5244.5
2007-07-08 09:29:59,-1.0,1.0,5248.5
2007-07-08 09:34:59,1.0,-1.0,5254.5
2007-07-08 09:39:59,1.0,0.0,5252.5
2007-07-08 09:45:00,1.0,-1.0,5252.5
2007-07-08 09:49:59,1.0,-1.0,5250.5
2007-07-08 09:54:59,1.0,1.0,5247.5
2007-07-08 09:59:59,1.0,1.0,5249.0
2007-07-08 10:04:59,-1.0,0.0,5255.0
2007-07-08 10:10:00,1.0,0.0,5254.5
2007-07-08 10:14:59,1.0,-1.0,5254.0
2007-07-08 10:19:59,-1.0,0.0,5251.0
2007-07-08 10:24:59,1.0,1.0,5251.5
2007-07-08 10:30:00,1.0,1.0,5254.0
2007-07-08 10:34:59,-1.0,-1.0,5258.5
2007-07-08 10:39:59,1.0,1.0,5255.5
2007-07-08 10:44:59,1.0,1.0,5258.0
2007-07-08 10:49:59,1.0,1.0,5262.0
2007-07-08 10:55:00,-1.0,0.0,5265.5
2007-07-08 10:59:59,1.0,0.0,5266.0
2007-07-08 11:04:59,1.0,-1.0,5265.5
2007-07-08 11:09:59,-1.0,1.0,5259.0
2007-07-08 11:15:00,-1.0,-1.0,5262.0
2007-07-08 11:19:59,-1.0,-1.0,5259.0
2007-07-08 11:24:59,1.0,-1.0,5258.0
2007-07-08 11:29:59,1.0,0.0,5256.5
2007-07-08 11:34:59,1.0,1.0,5257.0
2007-07-08 11:40:00,1.0,0.0,5258.5
