,y_pred,y_test,price
2002-05-03 20:49:59,0.0,1.0,66.8828125
2002-05-03 20:54:59,0.0,-1.0,66.9140625
2002-05-04 14:19:59,0.0,1.0,66.8828125
2002-05-04 14:24:59,0.0,-1.0,66.8984375
2002-05-04 14:29:59,0.0,-1.0,66.8828125
2002-05-04 14:34:59,1.0,-1.0,66.8671875
2002-05-04 14:40:00,1.0,0.0,66.8359375
2002-05-04 14:44:59,1.0,-1.0,66.8359375
2002-05-04 14:49:59,1.0,-1.0,66.8203125
2002-05-04 14:54:59,1.0,-1.0,66.8046875
2002-05-04 15:00:00,1.0,1.0,66.7890625
2002-05-04 15:04:59,1.0,1.0,66.8046875
2002-05-04 15:09:59,1.0,1.0,66.8359375
2002-05-04 15:14:59,1.0,-1.0,66.8671875
2002-05-04 15:19:59,1.0,-1.0,66.8359375
2002-05-04 15:25:00,1.0,-1.0,66.8203125
2002-05-04 15:29:59,1.0,0.0,66.7890625
2002-05-04 15:34:59,1.0,-1.0,66.7890625
2002-05-04 15:39:59,1.0,1.0,66.7578125
2002-05-04 15:45:00,1.0,1.0,66.8359375
2002-05-04 15:49:59,1.0,-1.0,66.8515625
2002-05-04 15:54:59,1.0,-1.0,66.8203125
2002-05-04 15:59:59,1.0,1.0,66.7734375
2002-05-04 16:04:59,1.0,1.0,66.7890625
2002-05-04 16:10:00,0.0,1.0,66.8359375
2002-05-04 16:14:59,0.0,1.0,66.8671875
2002-05-04 16:19:59,1.0,-1.0,66.8828125
2002-05-04 16:24:59,1.0,1.0,66.8671875
2002-05-04 16:30:00,1.0,0.0,66.8828125
2002-05-04 16:34:59,1.0,0.0,66.8828125
2002-05-04 16:39:59,1.0,1.0,66.8828125
2002-05-04 16:44:59,1.0,-1.0,66.8984375
2002-05-04 16:49:59,1.0,0.0,66.8828125
2002-05-04 16:55:00,1.0,-1.0,66.8828125
2002-05-04 16:59:59,1.0,1.0,66.8671875
2002-05-04 17:04:59,1.0,1.0,66.8828125
2002-05-04 17:09:59,1.0,1.0,66.8984375
2002-05-04 17:15:00,1.0,1.0,66.9140625
2002-05-04 17:19:59,1.0,1.0,66.9453125
2002-05-04 17:24:59,1.0,1.0,66.9609375
2002-05-04 17:29:59,0.0,0.0,66.9921875
2002-05-04 17:34:59,0.0,-1.0,66.9921875
2002-05-04 17:40:00,0.0,-1.0,66.9609375
2002-05-04 17:44:59,1.0,-1.0,66.9296875
2002-05-04 17:49:59,1.0,0.0,66.8984375
2002-05-04 17:54:59,1.0,0.0,66.8984375
2002-05-04 18:00:00,1.0,1.0,66.8984375
2002-05-04 18:04:59,1.0,0.0,66.9140625
2002-05-04 18:09:59,1.0,-1.0,66.9140625
2002-05-04 18:14:59,1.0,0.0,66.8828125
2002-05-04 18:19:59,1.0,-1.0,66.8828125
2002-05-04 18:25:00,1.0,0.0,66.8671875
2002-05-04 18:29:59,1.0,1.0,66.8671875
2002-05-04 18:34:59,1.0,0.0,66.8984375
2002-05-04 18:39:59,1.0,-1.0,66.8984375
2002-05-04 18:45:00,1.0,0.0,66.8671875
2002-05-04 18:49:59,1.0,0.0,66.8671875
2002-05-04 18:54:59,1.0,0.0,66.8671875
2002-05-04 18:59:59,1.0,0.0,66.8671875
2002-05-04 19:04:59,1.0,1.0,66.8671875
2002-05-04 19:10:00,1.0,-1.0,66.8828125
2002-05-04 19:14:59,1.0,-1.0,66.8671875
2002-05-04 19:19:59,1.0,-1.0,66.8359375
2002-05-04 19:24:59,1.0,0.0,66.8203125
2002-05-04 19:30:00,1.0,0.0,66.8203125
2002-05-04 19:34:59,1.0,0.0,66.8203125
2002-05-04 19:39:59,1.0,0.0,66.8203125
2002-05-04 19:44:59,0.0,-1.0,66.8203125
2002-05-04 19:49:59,-1.0,0.0,66.8046875
2002-05-04 19:55:00,1.0,1.0,66.8046875
2002-05-04 19:59:59,1.0,1.0,66.8359375
2002-05-04 20:04:59,1.0,0.0,66.8671875
2002-05-04 20:09:59,1.0,0.0,66.8671875
2002-05-04 20:15:00,1.0,-1.0,66.8671875
2002-05-04 20:19:59,1.0,0.0,66.8515625
2002-05-04 20:24:59,1.0,-1.0,66.8515625
2002-05-04 20:29:59,1.0,-1.0,66.8359375
2002-05-04 20:34:59,1.0,1.0,66.8203125
2002-05-04 20:40:00,1.0,-1.0,66.8515625
2002-05-04 20:44:59,1.0,1.0,66.8359375
2002-05-04 20:49:59,1.0,1.0,66.8515625
2002-05-04 20:54:59,1.0,1.0,66.8671875
2002-05-05 14:19:59,1.0,1.0,66.9140625
2002-05-05 14:24:59,1.0,1.0,66.9296875
2002-05-05 14:29:59,1.0,-1.0,67.0703125
2002-05-05 14:34:59,0.0,0.0,67.0546875
2002-05-05 14:40:00,0.0,1.0,67.0546875
2002-05-05 14:44:59,1.0,0.0,67.0703125
2002-05-05 14:49:59,1.0,1.0,67.0703125
2002-05-05 14:54:59,0.0,0.0,67.1015625
2002-05-05 15:00:00,0.0,1.0,67.1015625
2002-05-05 15:04:59,0.0,1.0,67.1171875
2002-05-05 15:09:59,1.0,-1.0,67.1328125
2002-05-05 15:14:59,0.0,0.0,67.1171875
2002-05-05 15:19:59,1.0,1.0,67.1171875
2002-05-05 15:25:00,0.0,0.0,67.1328125
2002-05-05 15:29:59,1.0,1.0,67.1328125
2002-05-05 15:34:59,0.0,1.0,67.1484375
2002-05-05 15:39:59,0.0,-1.0,67.1796875
2002-05-05 15:45:00,1.0,-1.0,67.1640625
2002-05-05 15:49:59,1.0,-1.0,67.1484375
2002-05-05 15:54:59,0.0,1.0,67.1328125
2002-05-05 15:59:59,1.0,1.0,67.1796875
2002-05-05 16:04:59,1.0,0.0,67.1953125
2002-05-05 16:10:00,0.0,-1.0,67.1953125
2002-05-05 16:14:59,0.0,1.0,67.1484375
2002-05-05 16:19:59,0.0,1.0,67.1640625
2002-05-05 16:24:59,0.0,1.0,67.1796875
2002-05-05 16:30:00,0.0,-1.0,67.1953125
2002-05-05 16:34:59,0.0,0.0,67.1640625
2002-05-05 16:39:59,-1.0,0.0,67.1640625
2002-05-05 16:44:59,-1.0,0.0,67.1640625
2002-05-05 16:49:59,-1.0,0.0,67.1640625
2002-05-05 16:55:00,1.0,-1.0,67.1640625
2002-05-05 16:59:59,1.0,1.0,67.1484375
2002-05-05 17:04:59,1.0,1.0,67.1796875
2002-05-05 17:09:59,1.0,-1.0,67.1953125
2002-05-05 17:15:00,1.0,-1.0,67.1796875
2002-05-05 17:19:59,1.0,0.0,67.1640625
2002-05-05 17:24:59,1.0,-1.0,67.1640625
2002-05-05 17:29:59,1.0,-1.0,67.1484375
2002-05-05 17:34:59,1.0,1.0,67.0859375
2002-05-05 17:40:00,1.0,1.0,67.1171875
2002-05-05 17:44:59,1.0,0.0,67.1328125
2002-05-05 17:49:59,1.0,0.0,67.1328125
2002-05-05 17:54:59,1.0,0.0,67.1328125
2002-05-05 18:00:00,1.0,-1.0,67.1328125
2002-05-05 18:04:59,1.0,-1.0,67.1015625
2002-05-05 18:09:59,1.0,-1.0,67.0859375
2002-05-05 18:14:59,0.0,-1.0,67.0703125
2002-05-05 18:19:59,0.0,1.0,67.0546875
2002-05-05 18:25:00,0.0,1.0,67.0859375
2002-05-05 18:29:59,0.0,-1.0,67.1171875
2002-05-05 18:34:59,0.0,0.0,67.0859375
2002-05-05 18:39:59,0.0,1.0,67.0859375
2002-05-05 18:45:00,0.0,-1.0,67.1171875
2002-05-05 18:49:59,1.0,1.0,67.1015625
2002-05-05 18:54:59,1.0,-1.0,67.1171875
2002-05-05 18:59:59,1.0,1.0,67.1015625
2002-05-05 19:04:59,1.0,0.0,67.1171875
2002-05-05 19:10:00,1.0,0.0,67.1171875
2002-05-05 19:14:59,1.0,-1.0,67.1171875
2002-05-05 19:19:59,1.0,0.0,67.0859375
2002-05-05 19:24:59,1.0,1.0,67.0859375
2002-05-05 19:30:00,0.0,0.0,67.1015625
2002-05-05 19:34:59,1.0,-1.0,67.1015625
2002-05-05 19:39:59,0.0,-1.0,67.0859375
2002-05-05 19:44:59,0.0,0.0,67.0703125
2002-05-05 19:49:59,0.0,-1.0,67.0703125
2002-05-05 19:55:00,1.0,1.0,67.0546875
2002-05-05 19:59:59,1.0,0.0,67.0859375
2002-05-05 20:04:59,1.0,1.0,67.0859375
2002-05-05 20:09:59,1.0,0.0,67.1171875
2002-05-05 20:15:00,-1.0,1.0,67.1171875
2002-05-05 20:19:59,-1.0,0.0,67.1328125
2002-05-05 20:24:59,-1.0,0.0,67.1328125
2002-05-05 20:29:59,-1.0,1.0,67.1328125
2002-05-05 20:34:59,-1.0,0.0,67.1484375
2002-05-05 20:40:00,-1.0,1.0,67.1484375
2002-05-05 20:44:59,-1.0,-1.0,67.1796875
2002-05-05 20:49:59,-1.0,0.0,67.1640625
2002-05-05 20:54:59,1.0,1.0,67.1640625
2002-05-06 14:19:59,1.0,1.0,67.2265625
2002-05-06 14:24:59,1.0,1.0,67.2421875
2002-05-06 14:29:59,1.0,-1.0,67.6640625
2002-05-06 14:34:59,1.0,0.0,67.6171875
2002-05-06 14:40:00,1.0,1.0,67.6171875
2002-05-06 14:44:59,0.0,-1.0,67.6640625
2002-05-06 14:49:59,0.0,0.0,67.6484375
2002-05-06 14:54:59,1.0,0.0,67.6484375
2002-05-06 15:00:00,-1.0,-1.0,67.6484375
2002-05-06 15:04:59,0.0,1.0,67.6328125
2002-05-06 15:09:59,1.0,0.0,67.6640625
2002-05-06 15:14:59,1.0,1.0,67.6640625
2002-05-06 15:19:59,-1.0,0.0,67.7109375
2002-05-06 15:25:00,-1.0,1.0,67.7109375
2002-05-06 15:29:59,-1.0,-1.0,67.7265625
2002-05-06 15:34:59,-1.0,-1.0,67.6796875
2002-05-06 15:39:59,1.0,0.0,67.6640625
2002-05-06 15:45:00,1.0,1.0,67.6640625
2002-05-06 15:49:59,1.0,-1.0,67.7109375
2002-05-06 15:54:59,1.0,-1.0,67.6640625
2002-05-06 15:59:59,-1.0,-1.0,67.6171875
2002-05-06 16:04:59,1.0,-1.0,67.5859375
2002-05-06 16:10:00,-1.0,-1.0,67.5703125
2002-05-06 16:14:59,1.0,0.0,67.5390625
2002-05-06 16:19:59,-1.0,1.0,67.5390625
2002-05-06 16:24:59,0.0,-1.0,67.6015625
2002-05-06 16:30:00,1.0,1.0,67.5546875
2002-05-06 16:34:59,0.0,-1.0,67.6015625
2002-05-06 16:39:59,0.0,-1.0,67.5703125
2002-05-06 16:44:59,0.0,1.0,67.5390625
2002-05-06 16:49:59,0.0,-1.0,67.5546875
2002-05-06 16:55:00,-1.0,-1.0,67.5390625
2002-05-06 16:59:59,-1.0,1.0,67.4609375
2002-05-06 17:04:59,-1.0,1.0,67.4921875
2002-05-06 17:09:59,-1.0,1.0,67.5078125
2002-05-06 17:15:00,-1.0,-1.0,67.5390625
2002-05-06 17:19:59,0.0,-1.0,67.5078125
2002-05-06 17:24:59,-1.0,0.0,67.4921875
2002-05-06 17:29:59,-1.0,-1.0,67.4921875
2002-05-06 17:34:59,0.0,0.0,67.4609375
2002-05-06 17:40:00,0.0,-1.0,67.4609375
2002-05-06 17:44:59,0.0,0.0,67.3984375
2002-05-06 17:49:59,-1.0,-1.0,67.3984375
2002-05-06 17:54:59,-1.0,-1.0,67.3515625
2002-05-06 18:00:00,-1.0,0.0,67.3359375
2002-05-06 18:04:59,-1.0,-1.0,67.3359375
2002-05-06 18:09:59,-1.0,-1.0,67.2890625
2002-05-06 18:14:59,-1.0,1.0,67.2734375
2002-05-06 18:19:59,-1.0,1.0,67.2890625
2002-05-06 18:25:00,-1.0,1.0,67.3203125
2002-05-06 18:29:59,-1.0,-1.0,67.3515625
2002-05-06 18:34:59,-1.0,-1.0,67.3359375
2002-05-06 18:39:59,-1.0,-1.0,67.3203125
2002-05-06 18:45:00,-1.0,1.0,67.2890625
2002-05-06 18:49:59,-1.0,0.0,67.3046875
2002-05-06 18:54:59,-1.0,1.0,67.3046875
2002-05-06 18:59:59,-1.0,0.0,67.3359375
2002-05-06 19:04:59,-1.0,1.0,67.3359375
2002-05-06 19:10:00,-1.0,1.0,67.3515625
2002-05-06 19:14:59,-1.0,0.0,67.3671875
2002-05-06 19:19:59,-1.0,0.0,67.3671875
2002-05-06 19:24:59,-1.0,-1.0,67.3671875
2002-05-06 19:30:00,-1.0,-1.0,67.3515625
2002-05-06 19:34:59,-1.0,-1.0,67.3203125
2002-05-06 19:39:59,-1.0,1.0,67.2890625
2002-05-06 19:44:59,-1.0,0.0,67.3203125
2002-05-06 19:49:59,-1.0,0.0,67.3203125
2002-05-06 19:55:00,-1.0,0.0,67.3203125
2002-05-06 19:59:59,0.0,-1.0,67.3203125
2002-05-06 20:04:59,0.0,1.0,67.3046875
2002-05-06 20:09:59,-1.0,0.0,67.3203125
2002-05-06 20:15:00,-1.0,1.0,67.3203125
2002-05-06 20:19:59,0.0,0.0,67.3359375
2002-05-06 20:24:59,0.0,0.0,67.3359375
2002-05-06 20:29:59,0.0,-1.0,67.3359375
2002-05-06 20:34:59,0.0,1.0,67.3203125
2002-05-06 20:40:00,0.0,0.0,67.3515625
2002-05-06 20:44:59,0.0,0.0,67.3515625
2002-05-06 20:49:59,0.0,1.0,67.3515625
2002-05-06 20:54:59,0.0,-1.0,67.3671875
2002-05-09 14:19:59,0.0,0.0,67.3515625
2002-05-09 14:24:59,0.0,-1.0,67.3515625
2002-05-09 14:29:59,0.0,0.0,67.3359375
2002-05-09 14:34:59,1.0,-1.0,67.3359375
2002-05-09 14:40:00,1.0,0.0,67.3203125
2002-05-09 14:44:59,1.0,1.0,67.3203125
2002-05-09 14:49:59,1.0,0.0,67.3515625
2002-05-09 14:54:59,1.0,1.0,67.3515625
2002-05-09 15:00:00,1.0,1.0,67.3671875
2002-05-09 15:04:59,1.0,0.0,67.3828125
2002-05-09 15:09:59,1.0,0.0,67.3828125
2002-05-09 15:14:59,1.0,-1.0,67.3828125
2002-05-09 15:19:59,-1.0,1.0,67.3671875
