,y_pred,y_test,price
2003-02-28 16:14:59,1.0,1.0,483.9
2003-02-28 16:19:59,1.0,-1.0,484.9
2003-02-28 16:24:59,1.0,0.0,483.5
2003-02-28 16:30:00,-1.0,1.0,483.5
2003-02-28 16:34:59,-1.0,-1.0,484.0
2003-02-28 16:39:59,-1.0,-1.0,483.7
2003-02-28 16:44:59,-1.0,0.0,483.6
2003-02-28 16:49:59,-1.0,-1.0,483.6
2003-02-28 16:55:00,-1.0,1.0,483.5
2003-02-28 16:59:59,-1.0,1.0,483.6
2003-02-28 17:04:59,-1.0,1.0,483.9
2003-02-28 17:09:59,-1.0,-1.0,484.1
2003-02-28 17:15:00,-1.0,1.0,484.0
2003-02-28 17:19:59,-1.0,1.0,484.3
2003-02-28 17:24:59,-1.0,0.0,484.4
2003-02-28 17:29:59,-1.0,-1.0,484.4
2003-02-28 17:34:59,1.0,0.0,484.2
2003-02-28 17:40:00,1.0,-1.0,484.2
2003-02-28 17:44:59,1.0,1.0,483.8
2003-02-28 17:49:59,1.0,1.0,483.9
2003-02-28 17:54:59,1.0,1.0,484.0
2003-02-28 18:00:00,1.0,1.0,484.3
2003-02-28 18:04:59,1.0,-1.0,484.4
2003-02-28 18:09:59,1.0,1.0,484.1
2003-02-28 18:14:59,1.0,1.0,484.3
2003-02-28 18:19:59,1.0,1.0,485.0
2003-02-28 18:25:00,1.0,-1.0,485.3
2003-02-28 18:29:59,1.0,1.0,485.1
2003-02-28 18:34:59,1.0,1.0,485.2
2003-02-28 18:39:59,-1.0,1.0,485.4
2003-02-28 18:45:00,-1.0,-1.0,485.5
2003-02-28 18:49:59,-1.0,1.0,485.3
2003-02-28 18:54:59,1.0,1.0,485.6
2003-02-28 18:59:59,1.0,1.0,485.7
2003-02-28 19:04:59,1.0,-1.0,486.0
2003-02-28 19:10:00,-1.0,-1.0,485.3
2003-02-28 19:14:59,1.0,1.0,485.2
2003-02-28 19:19:59,1.0,1.0,485.5
2003-02-28 19:24:59,1.0,1.0,485.9
2003-03-01 14:19:59,1.0,1.0,486.1
2003-03-01 14:24:59,-1.0,1.0,486.3
2003-03-01 14:29:59,-1.0,-1.0,486.4
2003-03-01 14:34:59,-1.0,-1.0,485.9
2003-03-01 14:40:00,1.0,1.0,485.7
2003-03-01 14:44:59,1.0,-1.0,485.8
2003-03-01 14:49:59,-1.0,-1.0,485.7
2003-03-01 14:54:59,-1.0,-1.0,485.6
2003-03-01 15:00:00,-1.0,1.0,485.4
2003-03-01 15:04:59,1.0,-1.0,485.6
2003-03-01 15:09:59,1.0,1.0,485.5
2003-03-01 15:14:59,1.0,1.0,485.6
2003-03-01 15:19:59,1.0,1.0,485.8
2003-03-01 15:25:00,1.0,-1.0,486.0
2003-03-01 15:29:59,-1.0,1.0,485.8
2003-03-01 15:34:59,-1.0,-1.0,485.9
2003-03-01 15:39:59,-1.0,-1.0,485.7
2003-03-01 15:45:00,-1.0,1.0,485.5
2003-03-01 15:49:59,-1.0,-1.0,485.6
2003-03-01 15:54:59,-1.0,1.0,485.4
2003-03-01 15:59:59,-1.0,-1.0,485.9
2003-03-01 16:04:59,-1.0,-1.0,485.8
2003-03-01 16:10:00,-1.0,0.0,485.7
2003-03-01 16:14:59,1.0,-1.0,485.7
2003-03-01 16:19:59,1.0,-1.0,485.6
2003-03-01 16:24:59,1.0,-1.0,485.5
2003-03-01 16:30:00,-1.0,-1.0,485.1
2003-03-01 16:34:59,-1.0,1.0,484.7
2003-03-01 16:39:59,-1.0,1.0,484.8
2003-03-01 16:44:59,-1.0,-1.0,484.9
2003-03-01 16:49:59,1.0,-1.0,484.7
2003-03-01 16:55:00,1.0,-1.0,484.6
2003-03-01 16:59:59,1.0,0.0,484.4
2003-03-01 17:04:59,1.0,-1.0,484.4
2003-03-01 17:09:59,1.0,0.0,484.3
2003-03-01 17:15:00,1.0,0.0,484.3
2003-03-01 17:19:59,1.0,-1.0,484.3
2003-03-01 17:24:59,1.0,1.0,484.1
2003-03-01 17:29:59,1.0,-1.0,484.2
2003-03-01 17:34:59,1.0,0.0,484.1
2003-03-01 17:40:00,1.0,0.0,484.1
2003-03-01 17:44:59,1.0,1.0,484.1
2003-03-01 17:49:59,1.0,0.0,484.3
2003-03-01 17:54:59,1.0,1.0,484.3
2003-03-01 18:00:00,1.0,1.0,484.5
2003-03-01 18:04:59,1.0,1.0,484.6
2003-03-01 18:09:59,1.0,-1.0,484.7
2003-03-01 18:14:59,1.0,-1.0,484.6
2003-03-01 18:19:59,1.0,-1.0,484.3
2003-03-01 18:25:00,1.0,0.0,484.2
2003-03-01 18:29:59,1.0,1.0,484.2
2003-03-01 18:34:59,1.0,1.0,484.4
2003-03-01 18:39:59,1.0,-1.0,484.5
2003-03-01 18:45:00,1.0,-1.0,484.1
2003-03-01 18:49:59,-1.0,0.0,484.0
2003-03-01 18:54:59,-1.0,0.0,484.0
2003-03-01 18:59:59,-1.0,-1.0,484.0
2003-03-01 19:04:59,1.0,1.0,483.9
2003-03-01 19:10:00,1.0,-1.0,484.2
2003-03-01 19:14:59,1.0,1.0,483.9
2003-03-01 19:19:59,1.0,1.0,484.1
2003-03-01 19:24:59,1.0,0.0,484.3
2003-03-02 14:19:59,1.0,1.0,484.3
2003-03-02 14:24:59,1.0,-1.0,484.4
2003-03-02 14:29:59,1.0,1.0,484.0
2003-03-02 14:34:59,1.0,1.0,484.3
2003-03-02 14:40:00,1.0,1.0,484.5
2003-03-02 14:44:59,1.0,1.0,484.6
2003-03-02 14:49:59,1.0,1.0,485.0
2003-03-02 14:54:59,1.0,-1.0,485.2
2003-03-02 15:00:00,1.0,1.0,485.0
2003-03-02 15:04:59,1.0,-1.0,485.5
2003-03-02 15:09:59,1.0,1.0,485.1
2003-03-02 15:14:59,1.0,1.0,485.3
2003-03-02 15:19:59,1.0,1.0,485.4
2003-03-02 15:25:00,1.0,-1.0,485.5
2003-03-02 15:29:59,1.0,-1.0,485.3
2003-03-02 15:34:59,1.0,1.0,484.9
2003-03-02 15:39:59,1.0,1.0,485.2
2003-03-02 15:45:00,1.0,-1.0,485.3
2003-03-02 15:49:59,1.0,0.0,485.0
2003-03-02 15:54:59,1.0,-1.0,485.0
2003-03-02 15:59:59,1.0,1.0,484.9
2003-03-02 16:04:59,1.0,1.0,485.4
2003-03-02 16:10:00,-1.0,-1.0,485.8
2003-03-02 16:14:59,1.0,1.0,485.4
2003-03-02 16:19:59,1.0,-1.0,485.9
2003-03-02 16:24:59,1.0,0.0,485.7
2003-03-02 16:30:00,1.0,1.0,485.7
2003-03-02 16:34:59,1.0,-1.0,486.0
2003-03-02 16:39:59,1.0,-1.0,485.9
2003-03-02 16:44:59,1.0,1.0,485.3
2003-03-02 16:49:59,1.0,1.0,485.4
2003-03-02 16:55:00,1.0,1.0,485.5
2003-03-02 16:59:59,1.0,-1.0,485.6
2003-03-02 17:04:59,1.0,-1.0,485.3
2003-03-02 17:09:59,1.0,1.0,485.0
2003-03-02 17:15:00,1.0,-1.0,485.1
2003-03-02 17:19:59,1.0,1.0,484.7
2003-03-02 17:24:59,1.0,1.0,484.8
2003-03-02 17:29:59,1.0,0.0,485.1
2003-03-02 17:34:59,1.0,-1.0,485.1
2003-03-02 17:40:00,1.0,-1.0,484.9
2003-03-02 17:44:59,1.0,0.0,484.7
2003-03-02 17:49:59,1.0,1.0,484.7
2003-03-02 17:54:59,1.0,-1.0,484.8
2003-03-02 18:00:00,1.0,-1.0,484.7
2003-03-02 18:04:59,1.0,-1.0,484.3
2003-03-02 18:09:59,1.0,1.0,484.2
2003-03-02 18:14:59,1.0,1.0,484.3
2003-03-02 18:19:59,1.0,-1.0,484.4
2003-03-02 18:25:00,1.0,1.0,484.3
2003-03-02 18:29:59,1.0,0.0,484.6
2003-03-02 18:34:59,1.0,1.0,484.6
2003-03-02 18:39:59,1.0,-1.0,484.7
2003-03-02 18:45:00,1.0,1.0,484.6
2003-03-02 18:49:59,1.0,0.0,484.7
2003-03-02 18:54:59,1.0,-1.0,484.7
2003-03-02 18:59:59,1.0,-1.0,484.5
2003-03-02 19:04:59,1.0,1.0,484.1
2003-03-02 19:10:00,1.0,1.0,484.2
2003-03-02 19:14:59,1.0,1.0,484.5
2003-03-02 19:19:59,1.0,-1.0,484.7
2003-03-02 19:24:59,1.0,-1.0,484.6
2003-03-03 14:19:59,1.0,-1.0,484.1
2003-03-03 14:24:59,1.0,-1.0,484.0
2003-03-03 14:29:59,1.0,-1.0,483.8
2003-03-03 14:34:59,1.0,0.0,483.5
2003-03-03 14:40:00,1.0,-1.0,483.5
2003-03-03 14:44:59,1.0,1.0,483.4
2003-03-03 14:49:59,1.0,1.0,483.6
2003-03-03 14:54:59,1.0,1.0,483.7
2003-03-03 15:00:00,1.0,-1.0,483.9
2003-03-03 15:04:59,1.0,-1.0,483.8
2003-03-03 15:09:59,1.0,1.0,483.6
2003-03-03 15:14:59,1.0,0.0,483.7
2003-03-03 15:19:59,1.0,1.0,483.7
2003-03-03 15:25:00,1.0,-1.0,483.8
2003-03-03 15:29:59,1.0,1.0,483.6
2003-03-03 15:34:59,1.0,1.0,483.7
2003-03-03 15:39:59,1.0,1.0,483.9
2003-03-03 15:45:00,-1.0,-1.0,484.0
2003-03-03 15:49:59,-1.0,-1.0,483.4
2003-03-03 15:54:59,-1.0,1.0,483.2
2003-03-03 15:59:59,-1.0,-1.0,483.5
2003-03-03 16:04:59,-1.0,1.0,483.4
2003-03-03 16:10:00,-1.0,1.0,483.7
2003-03-03 16:14:59,-1.0,-1.0,483.8
2003-03-03 16:19:59,-1.0,0.0,483.6
2003-03-03 16:24:59,-1.0,1.0,483.6
2003-03-03 16:30:00,-1.0,0.0,483.8
2003-03-03 16:34:59,-1.0,1.0,483.8
2003-03-03 16:39:59,-1.0,-1.0,483.9
2003-03-03 16:44:59,-1.0,-1.0,483.8
2003-03-03 16:49:59,-1.0,1.0,483.7
2003-03-03 16:55:00,-1.0,-1.0,483.8
2003-03-03 16:59:59,-1.0,1.0,483.7
2003-03-03 17:04:59,-1.0,-1.0,484.3
2003-03-03 17:09:59,-1.0,-1.0,484.2
2003-03-03 17:15:00,-1.0,1.0,484.1
2003-03-03 17:19:59,-1.0,1.0,484.2
2003-03-03 17:24:59,-1.0,1.0,484.6
2003-03-03 17:29:59,-1.0,1.0,484.7
2003-03-03 17:34:59,-1.0,1.0,484.8
2003-03-03 17:40:00,-1.0,0.0,485.4
2003-03-03 17:44:59,-1.0,1.0,485.4
