,y_pred,y_test,price
2006-12-11 18:39:59,-1.0,-1.0,74.21
2006-12-11 18:45:00,1.0,1.0,74.16
2006-12-11 18:49:59,-1.0,1.0,74.18
2006-12-11 18:54:59,-1.0,-1.0,74.2
2006-12-14 09:00:00,1.0,1.0,74.16
2006-12-14 09:04:59,1.0,1.0,74.18
2006-12-14 09:09:59,1.0,-1.0,74.26
2006-12-14 09:14:59,1.0,1.0,74.23
2006-12-14 09:19:59,1.0,-1.0,74.24
2006-12-14 09:25:00,1.0,-1.0,74.22
2006-12-14 09:29:59,-1.0,1.0,74.14
2006-12-14 09:34:59,1.0,1.0,74.2
2006-12-14 09:39:59,1.0,0.0,74.23
2006-12-14 09:45:00,-1.0,-1.0,74.23
2006-12-14 09:49:59,0.0,1.0,74.21
2006-12-14 09:54:59,-1.0,1.0,74.25
2006-12-14 09:59:59,-1.0,1.0,74.29
2006-12-14 10:04:59,1.0,-1.0,74.31
2006-12-14 10:10:00,1.0,1.0,74.3
2006-12-14 10:14:59,-1.0,1.0,74.35
2006-12-14 10:19:59,0.0,-1.0,74.39
2006-12-14 10:24:59,0.0,-1.0,74.36
2006-12-14 10:30:00,1.0,-1.0,74.35
2006-12-14 10:34:59,1.0,-1.0,74.34
2006-12-14 10:39:59,1.0,-1.0,74.33
2006-12-14 10:44:59,1.0,1.0,74.32
2006-12-14 10:49:59,1.0,1.0,74.34
2006-12-14 10:55:00,1.0,1.0,74.37
2006-12-14 10:59:59,1.0,-1.0,74.38
2006-12-14 11:04:59,1.0,-1.0,74.36
2006-12-14 11:09:59,1.0,0.0,74.34
2006-12-14 11:15:00,1.0,-1.0,74.34
2006-12-14 11:19:59,1.0,0.0,74.32
2006-12-14 11:24:59,1.0,0.0,74.32
2006-12-14 11:29:59,1.0,-1.0,74.32
2006-12-14 11:34:59,-1.0,-1.0,74.29
2006-12-14 11:40:00,1.0,1.0,74.23
2006-12-14 11:44:59,0.0,1.0,74.25
2006-12-14 11:49:59,-1.0,1.0,74.28
2006-12-14 11:54:59,-1.0,-1.0,74.29
2006-12-14 12:00:00,-1.0,-1.0,74.28
2006-12-14 12:04:59,-1.0,1.0,74.26
