,y_pred,y_test,price
2013-03-14 14:40:00,1.0,-1.0,7157.0
2013-03-14 14:44:59,1.0,-1.0,7152.0
2013-03-14 14:49:59,1.0,-1.0,7149.0
2013-03-14 14:54:59,1.0,-1.0,7146.0
2013-03-14 15:00:00,-1.0,1.0,7125.0
2013-03-14 15:04:59,1.0,-1.0,7131.0
2013-03-14 15:09:59,1.0,1.0,7126.0
2013-03-14 15:14:59,-1.0,-1.0,7146.0
2013-03-14 15:19:59,-1.0,-1.0,7128.0
2013-03-14 15:25:00,-1.0,-1.0,7125.0
2013-03-14 15:29:59,1.0,1.0,7097.0
2013-03-14 15:34:59,1.0,1.0,7102.0
2013-03-14 15:39:59,-1.0,0.0,7113.0
2013-03-14 15:45:00,1.0,1.0,7112.0
2013-03-14 15:49:59,1.0,-1.0,7126.0
2013-03-14 15:54:59,1.0,0.0,7122.0
2013-03-14 15:59:59,1.0,-1.0,7120.0
2013-03-14 16:04:59,1.0,1.0,7111.0
2013-03-14 16:10:00,1.0,0.0,7120.0
2013-03-14 16:14:59,1.0,1.0,7121.0
2013-03-14 16:19:59,1.0,-1.0,7125.0
2013-03-14 16:24:59,1.0,0.0,7110.0
2013-03-14 16:30:00,1.0,-1.0,7108.0
2013-03-14 16:34:59,-1.0,-1.0,7101.0
2013-03-14 16:39:59,-1.0,-1.0,7090.0
2013-03-14 16:44:59,-1.0,1.0,7078.0
2013-03-14 16:49:59,-1.0,-1.0,7095.0
2013-03-14 16:55:00,-1.0,-1.0,7089.0
2013-03-14 16:59:59,1.0,1.0,7084.0
2013-03-14 17:04:59,1.0,0.0,7094.0
2013-03-14 17:09:59,1.0,1.0,7092.0
2013-03-14 17:15:00,0.0,-1.0,7103.0
2013-03-14 17:19:59,0.0,0.0,7100.0
2013-03-14 17:24:59,0.0,-1.0,7099.0
2013-03-14 17:29:59,0.0,1.0,7096.0
2013-03-15 09:00:00,0.0,1.0,7145.0
2013-03-15 09:04:59,0.0,-1.0,7155.0
2013-03-15 09:09:59,1.0,-1.0,7150.0
2013-03-15 09:14:59,1.0,1.0,7142.0
2013-03-15 09:19:59,1.0,1.0,7152.0
2013-03-15 09:25:00,1.0,-1.0,7172.0
2013-03-15 09:29:59,1.0,-1.0,7157.0
2013-03-15 09:34:59,1.0,0.0,7153.0
2013-03-15 09:39:59,1.0,1.0,7151.0
2013-03-15 09:45:00,-1.0,1.0,7161.0
2013-03-15 09:49:59,-1.0,-1.0,7168.0
2013-03-15 09:54:59,0.0,-1.0,7162.0
2013-03-15 09:59:59,0.0,0.0,7159.0
2013-03-15 10:04:59,0.0,1.0,7159.0
2013-03-15 10:10:00,0.0,1.0,7162.0
2013-03-15 10:14:59,0.0,-1.0,7168.0
2013-03-15 10:19:59,0.0,0.0,7165.0
2013-03-15 10:24:59,0.0,1.0,7166.0
2013-03-15 10:30:00,0.0,1.0,7171.0
2013-03-15 10:34:59,0.0,0.0,7176.0
2013-03-15 10:39:59,0.0,0.0,7175.0
2013-03-15 10:44:59,1.0,1.0,7176.0
2013-03-15 10:49:59,1.0,1.0,7179.0
2013-03-15 10:55:00,1.0,1.0,7191.0
2013-03-15 10:59:59,1.0,1.0,7198.0
2013-03-15 11:04:59,1.0,-1.0,7204.0
2013-03-15 11:09:59,-1.0,0.0,7191.0
2013-03-15 11:15:00,-1.0,-1.0,7192.0
2013-03-15 11:19:59,-1.0,0.0,7186.0
2013-03-15 11:24:59,1.0,-1.0,7188.0
2013-03-15 11:29:59,1.0,1.0,7179.0
2013-03-15 11:34:59,1.0,1.0,7192.0
2013-03-15 11:40:00,-1.0,-1.0,7197.0
2013-03-15 11:44:59,-1.0,0.0,7192.0
2013-03-15 11:49:59,-1.0,1.0,7191.0
2013-03-15 11:54:59,-1.0,0.0,7194.0
2013-03-15 12:00:00,-1.0,0.0,7192.0
2013-03-15 12:04:59,-1.0,0.0,7194.0
2013-03-15 12:09:59,-1.0,1.0,7194.0
2013-03-15 12:14:59,-1.0,-1.0,7197.0
2013-03-15 12:19:59,-1.0,1.0,7191.0
2013-03-15 12:25:00,-1.0,1.0,7195.0
2013-03-15 12:29:59,-1.0,1.0,7200.0
2013-03-15 12:34:59,-1.0,-1.0,7207.0
2013-03-15 12:39:59,1.0,-1.0,7201.0
2013-03-15 12:45:00,1.0,1.0,7194.0
2013-03-15 12:49:59,1.0,0.0,7197.0
2013-03-15 12:54:59,1.0,1.0,7199.0
2013-03-15 12:59:59,-1.0,0.0,7203.0
2013-03-15 13:04:59,-1.0,0.0,7203.0
2013-03-15 13:10:00,-1.0,0.0,7204.0
2013-03-15 13:14:59,-1.0,-1.0,7206.0
2013-03-15 13:19:59,-1.0,0.0,7201.0
2013-03-15 13:24:59,-1.0,0.0,7203.0
2013-03-15 13:30:00,-1.0,0.0,7204.0
2013-03-15 13:34:59,-1.0,-1.0,7202.0
2013-03-15 13:39:59,-1.0,-1.0,7198.0
2013-03-15 13:44:59,0.0,-1.0,7192.0
2013-03-15 13:49:59,0.0,-1.0,7189.0
2013-03-15 13:55:00,0.0,-1.0,7184.0
2013-03-15 13:59:59,0.0,1.0,7181.0
2013-03-15 14:04:59,0.0,-1.0,7187.0
2013-03-15 14:09:59,0.0,0.0,7184.0
2013-03-15 14:15:00,0.0,1.0,7185.0
2013-03-15 14:19:59,0.0,1.0,7197.0
2013-03-15 14:24:59,0.0,-1.0,7201.0
2013-03-15 14:29:59,0.0,1.0,7198.0
2013-03-15 14:34:59,0.0,0.0,7204.0
2013-03-15 14:40:00,0.0,-1.0,7206.0
2013-03-15 14:44:59,0.0,-1.0,7194.0
2013-03-15 14:49:59,0.0,0.0,7186.0
2013-03-15 14:54:59,1.0,1.0,7185.0
2013-03-15 15:00:00,1.0,-1.0,7190.0
2013-03-15 15:04:59,1.0,1.0,7187.0
2013-03-15 15:09:59,1.0,-1.0,7194.0
2013-03-15 15:14:59,1.0,0.0,7189.0
2013-03-15 15:19:59,1.0,1.0,7191.0
2013-03-15 15:25:00,1.0,1.0,7194.0
2013-03-15 15:29:59,1.0,1.0,7198.0
2013-03-15 15:34:59,1.0,1.0,7205.0
2013-03-15 15:39:59,1.0,1.0,7211.0
2013-03-15 15:45:00,1.0,1.0,7217.0
2013-03-15 15:49:59,1.0,1.0,7222.0
2013-03-15 15:54:59,1.0,1.0,7226.0
2013-03-15 15:59:59,1.0,1.0,7236.0
2013-03-15 16:04:59,1.0,1.0,7242.0
2013-03-15 16:10:00,1.0,0.0,7257.0
2013-03-15 16:14:59,-1.0,1.0,7255.0
2013-03-15 16:19:59,-1.0,1.0,7263.0
2013-03-15 16:24:59,1.0,1.0,7266.0
2013-03-15 16:30:00,1.0,0.0,7278.0
2013-03-15 16:34:59,-1.0,1.0,7279.0
2013-03-15 16:39:59,-1.0,-1.0,7296.0
2013-03-15 16:44:59,-1.0,0.0,7287.0
2013-03-15 16:49:59,-1.0,-1.0,7286.0
2013-03-15 16:55:00,-1.0,-1.0,7279.0
2013-03-15 16:59:59,-1.0,0.0,7274.0
2013-03-15 17:04:59,0.0,1.0,7272.0
2013-03-15 17:09:59,1.0,0.0,7280.0
2013-03-15 17:15:00,1.0,1.0,7282.0
2013-03-15 17:19:59,1.0,1.0,7287.0
2013-03-15 17:24:59,-1.0,0.0,7298.0
2013-03-15 17:29:59,-1.0,1.0,7298.0
2013-03-16 09:00:00,1.0,-1.0,7357.0
2013-03-16 09:04:59,1.0,1.0,7348.0
2013-03-16 09:09:59,1.0,0.0,7353.0
2013-03-16 09:14:59,-1.0,1.0,7355.0
2013-03-16 09:19:59,1.0,1.0,7372.0
2013-03-16 09:25:00,1.0,1.0,7376.0
2013-03-16 09:29:59,-1.0,1.0,7384.0
2013-03-16 09:34:59,-1.0,0.0,7394.0
2013-03-16 09:39:59,1.0,-1.0,7392.0
2013-03-16 09:45:00,-1.0,0.0,7386.0
2013-03-16 09:49:59,1.0,1.0,7387.0
2013-03-16 09:54:59,-1.0,1.0,7394.0
2013-03-16 09:59:59,-1.0,-1.0,7405.0
2013-03-16 10:04:59,1.0,1.0,7395.0
2013-03-16 10:10:00,1.0,0.0,7398.0
2013-03-16 10:14:59,1.0,-1.0,7399.0
2013-03-16 10:19:59,1.0,-1.0,7395.0
2013-03-16 10:24:59,1.0,0.0,7383.0
2013-03-16 10:30:00,1.0,0.0,7382.0
2013-03-16 10:34:59,-1.0,-1.0,7382.0
2013-03-16 10:39:59,-1.0,1.0,7370.0
2013-03-16 10:44:59,-1.0,1.0,7375.0
2013-03-16 10:49:59,-1.0,1.0,7378.0
2013-03-16 10:55:00,-1.0,1.0,7381.0
2013-03-16 10:59:59,-1.0,1.0,7387.0
2013-03-16 11:04:59,-1.0,0.0,7393.0
2013-03-16 11:09:59,-1.0,-1.0,7394.0
2013-03-16 11:15:00,-1.0,1.0,7389.0
2013-03-16 11:19:59,-1.0,1.0,7394.0
2013-03-16 11:24:59,-1.0,1.0,7398.0
2013-03-16 11:29:59,-1.0,1.0,7405.0
2013-03-16 11:34:59,-1.0,-1.0,7422.0
2013-03-16 11:40:00,-1.0,-1.0,7417.0
2013-03-16 11:44:59,-1.0,-1.0,7410.0
2013-03-16 11:49:59,1.0,1.0,7405.0
2013-03-16 11:54:59,-1.0,0.0,7409.0
2013-03-16 12:00:00,-1.0,-1.0,7409.0
2013-03-16 12:04:59,1.0,-1.0,7403.0
2013-03-16 12:09:59,1.0,1.0,7393.0
2013-03-16 12:14:59,1.0,1.0,7396.0
2013-03-16 12:19:59,1.0,0.0,7400.0
2013-03-16 12:25:00,-1.0,-1.0,7398.0
2013-03-16 12:29:59,-1.0,1.0,7394.0
2013-03-16 12:34:59,-1.0,0.0,7399.0
2013-03-16 12:39:59,-1.0,-1.0,7400.0
2013-03-16 12:45:00,0.0,0.0,7395.0
2013-03-16 12:49:59,0.0,-1.0,7393.0
2013-03-16 12:54:59,1.0,-1.0,7383.0
2013-03-16 12:59:59,1.0,0.0,7377.0
2013-03-16 13:04:59,0.0,0.0,7375.0
2013-03-16 13:10:00,0.0,-1.0,7375.0
2013-03-16 13:14:59,0.0,-1.0,7371.0
2013-03-16 13:19:59,0.0,1.0,7360.0
2013-03-16 13:24:59,-1.0,-1.0,7366.0
2013-03-16 13:30:00,1.0,1.0,7363.0
2013-03-16 13:34:59,1.0,0.0,7369.0
2013-03-16 13:39:59,1.0,0.0,7369.0
2013-03-16 13:44:59,-1.0,1.0,7371.0
2013-03-16 13:49:59,-1.0,1.0,7382.0
2013-03-16 13:55:00,-1.0,-1.0,7386.0
2013-03-16 13:59:59,-1.0,0.0,7379.0
2013-03-16 14:04:59,0.0,0.0,7377.0
2013-03-16 14:09:59,0.0,-1.0,7378.0
2013-03-16 14:15:00,0.0,-1.0,7370.0
2013-03-16 14:19:59,1.0,0.0,7365.0
2013-03-16 14:24:59,1.0,0.0,7366.0
2013-03-16 14:29:59,1.0,-1.0,7364.0
2013-03-16 14:34:59,1.0,1.0,7352.0
2013-03-16 14:40:00,-1.0,1.0,7357.0
2013-03-16 14:44:59,-1.0,1.0,7367.0
2013-03-16 14:49:59,-1.0,0.0,7371.0
2013-03-16 14:54:59,-1.0,-1.0,7373.0
2013-03-16 15:00:00,-1.0,1.0,7369.0
2013-03-16 15:04:59,-1.0,0.0,7372.0
2013-03-16 15:09:59,-1.0,1.0,7370.0
2013-03-16 15:14:59,-1.0,-1.0,7374.0
