,y_pred,y_test,price
2002-04-29 14:34:59,1.0,-1.0,1.0259
2002-04-29 14:40:00,1.0,0.0,1.0254
2002-04-29 14:44:59,-1.0,-1.0,1.0253
2002-04-29 14:49:59,-1.0,0.0,1.0251
2002-04-29 14:54:59,-1.0,1.0,1.0251
2002-04-29 15:00:00,1.0,-1.0,1.0254
2002-04-29 15:04:59,0.0,0.0,1.0248
2002-04-29 15:09:59,0.0,1.0,1.0248
2002-04-29 15:14:59,1.0,-1.0,1.0255
2002-04-29 15:19:59,1.0,-1.0,1.0253
2002-04-29 15:25:00,1.0,1.0,1.0244
2002-04-29 15:29:59,1.0,0.0,1.0248
2002-04-29 15:34:59,-1.0,-1.0,1.0247
2002-04-29 15:39:59,1.0,0.0,1.0243
2002-04-29 15:45:00,-1.0,1.0,1.0242
2002-04-29 15:49:59,-1.0,1.0,1.0248
2002-04-29 15:54:59,-1.0,-1.0,1.0258
2002-04-29 15:59:59,1.0,1.0,1.0255
2002-04-29 16:04:59,1.0,0.0,1.0259
2002-04-29 16:10:00,-1.0,0.0,1.026
2002-04-29 16:14:59,-1.0,1.0,1.0261
2002-04-29 16:19:59,-1.0,1.0,1.0268
2002-04-29 16:24:59,-1.0,-1.0,1.0273
2002-04-29 16:30:00,-1.0,1.0,1.0269
2002-04-29 16:34:59,-1.0,-1.0,1.0278
2002-04-29 16:39:59,-1.0,-1.0,1.0273
2002-04-29 16:44:59,-1.0,-1.0,1.0271
2002-04-29 16:49:59,-1.0,1.0,1.0262
2002-04-29 16:55:00,-1.0,-1.0,1.028
2002-04-29 16:59:59,-1.0,-1.0,1.0276
2002-04-29 17:04:59,-1.0,-1.0,1.0274
2002-04-29 17:09:59,0.0,1.0,1.0271
2002-04-29 17:15:00,0.0,1.0,1.0276
2002-04-29 17:19:59,1.0,-1.0,1.0281
2002-04-29 17:24:59,-1.0,0.0,1.0278
2002-04-29 17:29:59,-1.0,0.0,1.0278
2002-04-29 17:34:59,-1.0,1.0,1.0277
2002-04-29 17:40:00,-1.0,-1.0,1.0287
2002-04-29 17:44:59,-1.0,0.0,1.0281
2002-04-29 17:49:59,-1.0,0.0,1.0281
2002-04-29 17:54:59,-1.0,0.0,1.028
2002-04-29 18:00:00,0.0,-1.0,1.0281
2002-04-29 18:04:59,0.0,-1.0,1.0276
2002-04-29 18:09:59,0.0,0.0,1.0271
2002-04-29 18:14:59,0.0,0.0,1.0271
2002-04-29 18:19:59,0.0,1.0,1.0271
2002-04-29 18:25:00,0.0,0.0,1.0273
2002-04-29 18:29:59,-1.0,0.0,1.0272
2002-04-29 18:34:59,-1.0,-1.0,1.0271
2002-04-29 18:39:59,1.0,0.0,1.0267
2002-04-29 18:45:00,0.0,0.0,1.0266
2002-04-29 18:49:59,0.0,-1.0,1.0266
2002-04-29 18:54:59,-1.0,0.0,1.0263
2002-04-29 18:59:59,1.0,-1.0,1.0264
2002-04-29 19:04:59,1.0,1.0,1.0258
2002-04-29 19:10:00,1.0,-1.0,1.0265
2002-04-29 19:14:59,1.0,0.0,1.0263
2002-04-29 19:19:59,-1.0,-1.0,1.0262
2002-04-29 19:24:59,-1.0,0.0,1.0259
2002-04-29 19:30:00,0.0,1.0,1.026
2002-04-29 19:34:59,0.0,0.0,1.0263
2002-04-29 19:39:59,0.0,-1.0,1.0264
2002-04-29 19:44:59,0.0,0.0,1.026
2002-04-29 19:49:59,0.0,0.0,1.026
2002-04-29 19:55:00,0.0,1.0,1.0261
2002-04-29 19:59:59,0.0,0.0,1.0263
2002-04-29 20:04:59,0.0,-1.0,1.0264
2002-04-29 20:09:59,0.0,0.0,1.0262
2002-04-29 20:15:00,-1.0,0.0,1.0262
2002-04-29 20:19:59,-1.0,0.0,1.0263
2002-04-29 20:24:59,-1.0,0.0,1.0264
2002-04-29 20:29:59,-1.0,-1.0,1.0263
2002-04-29 20:34:59,-1.0,0.0,1.0258
2002-04-29 20:40:00,1.0,0.0,1.0258
2002-04-29 20:44:59,1.0,0.0,1.0258
2002-04-29 20:49:59,-1.0,1.0,1.0258
2002-04-29 20:54:59,1.0,1.0,1.0262
2002-05-02 14:19:59,-1.0,1.0,1.0292
2002-05-02 14:24:59,1.0,-1.0,1.0295
2002-05-02 14:29:59,1.0,-1.0,1.0293
2002-05-02 14:34:59,1.0,-1.0,1.0288
2002-05-02 14:40:00,1.0,0.0,1.0286
2002-05-02 14:44:59,1.0,-1.0,1.0286
2002-05-02 14:49:59,1.0,-1.0,1.0283
2002-05-02 14:54:59,1.0,-1.0,1.0281
2002-05-02 15:00:00,1.0,0.0,1.0278
2002-05-02 15:04:59,1.0,0.0,1.0277
2002-05-02 15:09:59,-1.0,1.0,1.0277
2002-05-02 15:14:59,-1.0,0.0,1.0279
2002-05-02 15:19:59,-1.0,-1.0,1.028
2002-05-02 15:25:00,1.0,-1.0,1.0278
2002-05-02 15:29:59,-1.0,1.0,1.0276
2002-05-02 15:34:59,1.0,0.0,1.0278
2002-05-02 15:39:59,1.0,1.0,1.0279
2002-05-02 15:45:00,1.0,0.0,1.0281
2002-05-02 15:49:59,-1.0,0.0,1.028
2002-05-02 15:54:59,-1.0,1.0,1.0281
2002-05-02 15:59:59,-1.0,1.0,1.0284
2002-05-02 16:04:59,-1.0,1.0,1.0288
2002-05-02 16:10:00,1.0,1.0,1.0296
2002-05-02 16:14:59,1.0,1.0,1.0299
2002-05-02 16:19:59,-1.0,0.0,1.0307
2002-05-02 16:24:59,-1.0,-1.0,1.0306
2002-05-02 16:30:00,1.0,0.0,1.0304
2002-05-02 16:34:59,-1.0,-1.0,1.0305
2002-05-02 16:39:59,-1.0,1.0,1.0301
2002-05-02 16:44:59,0.0,-1.0,1.0303
2002-05-02 16:49:59,0.0,-1.0,1.03
2002-05-02 16:55:00,0.0,1.0,1.0293
2002-05-02 16:59:59,0.0,0.0,1.0296
2002-05-02 17:04:59,0.0,0.0,1.0296
2002-05-02 17:09:59,1.0,0.0,1.0296
2002-05-02 17:15:00,-1.0,0.0,1.0295
2002-05-02 17:19:59,-1.0,1.0,1.0294
2002-05-02 17:24:59,1.0,0.0,1.0298
2002-05-02 17:29:59,1.0,0.0,1.0298
2002-05-02 17:34:59,1.0,0.0,1.0298
2002-05-02 17:40:00,1.0,0.0,1.0299
2002-05-02 17:44:59,1.0,-1.0,1.0298
2002-05-02 17:49:59,-1.0,-1.0,1.0295
2002-05-02 17:54:59,-1.0,-1.0,1.0291
2002-05-02 18:00:00,-1.0,0.0,1.0289
2002-05-02 18:04:59,-1.0,1.0,1.0289
2002-05-02 18:09:59,-1.0,-1.0,1.0293
2002-05-02 18:14:59,1.0,-1.0,1.0291
2002-05-02 18:19:59,1.0,0.0,1.0289
2002-05-02 18:25:00,1.0,1.0,1.0288
2002-05-02 18:29:59,1.0,-1.0,1.0291
2002-05-02 18:34:59,1.0,1.0,1.0288
2002-05-02 18:39:59,1.0,1.0,1.0292
2002-05-02 18:45:00,1.0,0.0,1.0297
2002-05-02 18:49:59,1.0,0.0,1.0297
2002-05-02 18:54:59,1.0,-1.0,1.0296
2002-05-02 18:59:59,1.0,-1.0,1.0293
2002-05-02 19:04:59,1.0,-1.0,1.0289
2002-05-02 19:10:00,1.0,1.0,1.0286
2002-05-02 19:14:59,1.0,-1.0,1.0289
2002-05-02 19:19:59,1.0,0.0,1.0284
2002-05-02 19:24:59,1.0,1.0,1.0285
2002-05-02 19:30:00,1.0,0.0,1.0288
2002-05-02 19:34:59,1.0,0.0,1.0287
2002-05-02 19:39:59,1.0,1.0,1.0286
