,price,y_pred,y_test
2005-03-03 16:24:59,1660.75,-1.0,1.0
2005-03-03 16:30:00,1661.25,-1.0,-1.0
2005-03-03 16:34:59,1659.25,-1.0,-1.0
2005-03-03 16:39:59,1658.75,-1.0,0.0
2005-03-03 16:44:59,1658.75,-1.0,0.0
2005-03-03 16:49:59,1658.75,1.0,-1.0
2005-03-03 16:55:00,1656.75,1.0,-1.0
2005-03-03 16:59:59,1653.75,1.0,-1.0
2005-03-03 17:04:59,1652.75,1.0,1.0
2005-03-03 17:09:59,1655.25,-1.0,-1.0
2005-03-03 17:15:00,1652.75,1.0,1.0
2005-03-03 17:19:59,1654.75,-1.0,1.0
2005-03-03 17:24:59,1655.75,1.0,1.0
2005-03-03 17:29:59,1656.25,-1.0,0.0
2005-03-03 17:34:59,1656.25,-1.0,-1.0
2005-03-03 17:40:00,1655.25,-1.0,1.0
2005-03-03 17:44:59,1655.75,-1.0,1.0
2005-03-03 17:49:59,1656.25,-1.0,1.0
2005-03-03 17:54:59,1659.25,-1.0,1.0
2005-03-03 18:00:00,1659.75,1.0,1.0
2005-03-03 18:04:59,1660.25,-1.0,1.0
2005-03-03 18:09:59,1661.75,-1.0,0.0
2005-03-03 18:14:59,1661.75,-1.0,-1.0
2005-03-03 18:19:59,1661.25,-1.0,-1.0
2005-03-03 18:25:00,1660.25,-1.0,-1.0
2005-03-03 18:29:59,1659.75,-1.0,-1.0
2005-03-03 18:34:59,1658.75,-1.0,1.0
2005-03-03 18:39:59,1660.25,1.0,-1.0
2005-03-03 18:45:00,1659.75,1.0,1.0
2005-03-03 18:49:59,1660.75,1.0,0.0
2005-03-03 18:54:59,1660.75,1.0,0.0
2005-03-03 18:59:59,1660.75,1.0,-1.0
2005-03-03 19:04:59,1659.75,1.0,1.0
2005-03-03 19:10:00,1660.75,0.0,0.0
2005-03-03 19:14:59,1660.75,1.0,1.0
2005-03-03 19:19:59,1662.25,-1.0,1.0
2005-03-03 19:24:59,1662.75,-1.0,-1.0
2005-03-03 19:30:00,1662.25,-1.0,1.0
2005-03-03 19:34:59,1662.75,-1.0,-1.0
2005-03-03 19:39:59,1660.25,-1.0,1.0
2005-03-03 19:44:59,1661.25,-1.0,1.0
2005-03-03 19:49:59,1663.75,-1.0,0.0
2005-03-03 19:55:00,1663.75,1.0,1.0
2005-03-03 19:59:59,1666.75,-1.0,-1.0
2005-03-03 20:04:59,1666.25,-1.0,1.0
2005-03-03 20:09:59,1667.75,-1.0,-1.0
2005-03-03 20:15:00,1667.25,-1.0,-1.0
2005-03-03 20:19:59,1665.75,-1.0,1.0
2005-03-03 20:24:59,1666.25,-1.0,-1.0
2005-03-03 20:29:59,1665.75,-1.0,1.0
2005-03-03 20:34:59,1666.75,-1.0,1.0
2005-03-03 20:40:00,1669.75,-1.0,1.0
2005-03-03 20:44:59,1671.75,-1.0,1.0
2005-03-03 20:49:59,1672.75,-1.0,-1.0
2005-03-03 20:54:59,1671.25,-1.0,0.0
2005-03-03 21:00:00,1671.25,-1.0,0.0
2005-03-03 21:04:59,1671.25,-1.0,0.0
2005-03-03 21:09:59,1671.25,-1.0,0.0
2005-03-03 21:14:59,1671.25,-1.0,1.0
2005-03-03 21:19:59,1674.75,-1.0,-1.0
2005-03-03 21:25:00,1674.25,-1.0,1.0
2005-03-03 21:29:59,1674.75,-1.0,-1.0
2005-03-03 21:34:59,1673.75,-1.0,-1.0
2005-03-03 21:39:59,1672.75,-1.0,1.0
2005-03-03 21:45:00,1673.25,-1.0,0.0
2005-03-03 21:49:59,1673.25,-1.0,-1.0
2005-03-03 21:54:59,1672.75,-1.0,1.0
2005-03-03 21:59:59,1674.25,-1.0,0.0
2005-03-03 22:04:59,1674.25,-1.0,0.0
2005-03-03 22:10:00,1674.25,-1.0,0.0
2005-03-03 22:14:59,1674.25,-1.0,0.0
2005-03-03 22:19:59,1674.25,-1.0,0.0
2005-03-03 22:24:59,1674.25,-1.0,1.0
2005-03-03 22:30:00,1674.75,-1.0,0.0
2005-03-03 22:34:59,1674.75,-1.0,0.0
2005-03-03 22:39:59,1674.75,-1.0,1.0
2005-03-03 22:44:59,1675.25,-1.0,0.0
2005-03-03 22:49:59,1675.25,-1.0,0.0
2005-03-03 22:55:00,1675.25,-1.0,-1.0
2005-03-03 22:59:59,1674.75,-1.0,0.0
2005-03-03 23:04:59,1674.75,-1.0,1.0
2005-03-03 23:09:59,1675.25,0.0,0.0
2005-03-03 23:15:00,1675.25,-1.0,0.0
2005-03-03 23:19:59,1675.25,-1.0,-1.0
2005-03-03 23:24:59,1674.75,-1.0,-1.0
2005-03-04 00:00:00,1674.25,-1.0,1.0
2005-03-04 00:04:59,1675.25,-1.0,-1.0
2005-03-04 00:09:59,1674.75,-1.0,-1.0
