,y_pred,y_test,price
2012-01-28 10:44:59,1.0,-1.0,1845.6
2012-01-28 10:49:59,1.0,1.0,1845.5
2012-01-28 10:55:00,1.0,1.0,1845.6
2012-01-28 10:59:59,1.0,-1.0,1845.8
2012-01-28 11:04:59,1.0,0.0,1845.0
2012-01-28 11:09:59,-1.0,0.0,1845.0
2012-01-28 11:15:00,-1.0,0.0,1845.0
2012-01-28 11:19:59,-1.0,1.0,1845.0
2012-01-28 11:24:59,-1.0,1.0,1846.3
2012-01-28 11:29:59,-1.0,1.0,1847.2
2012-01-28 11:34:59,-1.0,-1.0,1848.0
2012-01-28 11:40:00,-1.0,-1.0,1847.9
2012-01-28 11:44:59,1.0,-1.0,1847.6
2012-01-28 11:49:59,1.0,-1.0,1846.6
2012-01-28 11:54:59,1.0,1.0,1846.5
2012-01-28 12:00:00,1.0,-1.0,1847.6
2012-01-28 12:04:59,-1.0,-1.0,1846.6
2012-01-28 12:09:59,-1.0,0.0,1844.4
2012-01-28 12:14:59,-1.0,0.0,1844.4
2012-01-28 12:19:59,-1.0,1.0,1844.4
2012-01-28 12:25:00,-1.0,0.0,1844.5
2012-01-28 12:29:59,1.0,1.0,1844.5
2012-01-28 12:34:59,-1.0,1.0,1846.6
2012-01-28 12:39:59,-1.0,1.0,1847.6
2012-01-28 12:45:00,-1.0,1.0,1849.6
2012-01-28 12:49:59,-1.0,-1.0,1850.6
2012-01-28 12:54:59,1.0,1.0,1848.6
2012-01-28 12:59:59,1.0,0.0,1849.4
2012-01-28 13:04:59,1.0,1.0,1849.4
2012-01-28 13:10:00,1.0,0.0,1852.5
2012-01-28 13:14:59,1.0,-1.0,1852.5
2012-01-28 13:19:59,-1.0,-1.0,1852.1
2012-01-28 13:24:59,1.0,-1.0,1849.7
2012-01-28 13:30:00,1.0,-1.0,1847.6
2012-01-28 13:34:59,1.0,-1.0,1845.1
2012-01-28 13:39:59,1.0,-1.0,1844.4
2012-01-28 13:44:59,1.0,-1.0,1843.5
2012-01-28 13:49:59,1.0,-1.0,1843.0
2012-01-28 13:55:00,1.0,1.0,1841.7
2012-01-28 13:59:59,1.0,-1.0,1842.6
2012-01-28 14:04:59,1.0,0.0,1841.6
