,y_pred,y_test,price
2003-10-23 17:40:00,0.0,0.0,797.0
2003-10-23 17:44:59,0.0,0.0,797.0
2003-10-23 17:49:59,0.0,1.0,797.0
2003-10-23 17:54:59,0.0,0.0,797.5
2003-10-23 18:00:00,0.0,-1.0,797.5
2003-10-23 18:04:59,0.0,1.0,797.0
2003-10-23 18:09:59,0.0,0.0,797.5
2003-10-23 18:14:59,0.0,0.0,797.5
2003-10-23 18:19:59,0.0,-1.0,797.5
2003-10-23 18:25:00,0.0,0.0,797.0
2003-10-23 18:29:59,1.0,0.0,797.0
2003-10-23 18:34:59,0.0,0.0,797.0
2003-10-23 18:39:59,0.0,-1.0,797.0
2003-10-23 18:45:00,0.0,1.0,796.5
2003-10-23 18:49:59,-1.0,1.0,797.0
2003-10-23 18:54:59,-1.0,-1.0,797.5
2003-10-23 18:59:59,-1.0,0.0,797.0
2003-10-23 19:04:59,0.0,1.0,797.0
2003-10-23 19:10:00,-1.0,1.0,797.5
2003-10-23 19:14:59,0.0,1.0,798.0
2003-10-23 19:19:59,0.0,1.0,799.0
2003-10-24 14:24:59,-1.0,1.0,800.5
2003-10-24 14:29:59,1.0,0.0,804.0
2003-10-24 14:34:59,0.0,-1.0,804.0
2003-10-24 14:40:00,0.0,-1.0,803.5
2003-10-24 14:44:59,0.0,1.0,802.5
2003-10-24 14:49:59,0.0,0.0,803.0
2003-10-24 14:54:59,0.0,0.0,803.0
2003-10-24 15:00:00,0.0,0.0,803.0
2003-10-24 15:04:59,0.0,-1.0,803.0
2003-10-24 15:09:59,-1.0,0.0,802.5
2003-10-24 15:14:59,0.0,1.0,802.5
2003-10-24 15:19:59,0.0,1.0,803.0
2003-10-24 15:25:00,0.0,0.0,803.5
2003-10-24 15:29:59,0.0,1.0,803.5
2003-10-24 15:34:59,0.0,0.0,804.0
2003-10-24 15:39:59,1.0,-1.0,804.0
2003-10-24 15:45:00,-1.0,1.0,803.5
2003-10-24 15:49:59,1.0,-1.0,804.0
2003-10-24 15:54:59,-1.0,0.0,803.5
2003-10-24 15:59:59,-1.0,1.0,803.5
2003-10-24 16:04:59,0.0,0.0,804.0
2003-10-24 16:10:00,0.0,-1.0,804.0
2003-10-24 16:14:59,1.0,-1.0,803.5
2003-10-24 16:19:59,1.0,-1.0,803.0
2003-10-24 16:24:59,-1.0,-1.0,802.5
2003-10-24 16:30:00,-1.0,-1.0,802.0
2003-10-24 16:34:59,-1.0,1.0,801.5
2003-10-24 16:39:59,-1.0,-1.0,802.5
2003-10-24 16:44:59,0.0,1.0,802.0
2003-10-24 16:49:59,1.0,0.0,802.5
2003-10-24 16:55:00,1.0,0.0,802.5
2003-10-24 16:59:59,1.0,1.0,802.5
2003-10-24 17:04:59,0.0,1.0,803.0
2003-10-24 17:09:59,-1.0,-1.0,806.0
2003-10-24 17:15:00,0.0,0.0,805.5
2003-10-24 17:19:59,-1.0,0.0,805.5
2003-10-24 17:24:59,0.0,1.0,805.5
2003-10-24 17:29:59,0.0,1.0,806.0
2003-10-24 17:34:59,1.0,-1.0,806.5
2003-10-24 17:40:00,1.0,0.0,806.0
2003-10-24 17:44:59,1.0,0.0,806.0
2003-10-24 17:49:59,0.0,-1.0,806.0
2003-10-24 17:54:59,1.0,-1.0,805.5
2003-10-24 18:00:00,1.0,0.0,805.0
2003-10-24 18:04:59,1.0,-1.0,805.0
2003-10-24 18:09:59,-1.0,0.0,804.5
2003-10-24 18:14:59,-1.0,1.0,804.5
2003-10-24 18:19:59,1.0,1.0,805.0
2003-10-24 18:25:00,1.0,1.0,805.5
2003-10-24 18:29:59,1.0,0.0,806.0
2003-10-24 18:34:59,1.0,0.0,806.0
2003-10-24 18:39:59,0.0,-1.0,806.0
2003-10-24 18:45:00,0.0,-1.0,805.5
2003-10-24 18:49:59,0.0,1.0,805.0
2003-10-24 18:54:59,0.0,0.0,805.5
2003-10-24 18:59:59,0.0,-1.0,805.5
2003-10-24 19:04:59,0.0,0.0,805.0
2003-10-24 19:10:00,0.0,-1.0,805.0
2003-10-24 19:14:59,0.0,1.0,804.5
2003-10-24 19:19:59,-1.0,0.0,805.0
2003-10-25 14:24:59,0.0,-1.0,805.0
2003-10-25 14:29:59,0.0,0.0,804.0
2003-10-25 14:34:59,0.0,-1.0,804.0
2003-10-25 14:40:00,0.0,0.0,803.5
2003-10-25 14:44:59,0.0,-1.0,803.5
2003-10-25 14:49:59,0.0,1.0,802.5
2003-10-25 14:54:59,1.0,0.0,804.0
2003-10-25 15:00:00,0.0,1.0,804.0
2003-10-25 15:04:59,0.0,-1.0,804.5
2003-10-25 15:09:59,0.0,0.0,804.0
2003-10-25 15:14:59,0.0,0.0,804.0
2003-10-25 15:19:59,0.0,0.0,804.0
2003-10-25 15:25:00,0.0,0.0,804.0
2003-10-25 15:29:59,0.0,-1.0,804.0
2003-10-25 15:34:59,-1.0,-1.0,803.5
2003-10-25 15:39:59,-1.0,0.0,803.0
2003-10-25 15:45:00,-1.0,0.0,803.0
2003-10-25 15:49:59,-1.0,0.0,803.0
2003-10-25 15:54:59,0.0,1.0,803.0
2003-10-25 15:59:59,0.0,-1.0,804.0
2003-10-25 16:04:59,0.0,1.0,803.5
2003-10-25 16:10:00,0.0,-1.0,804.0
2003-10-25 16:14:59,1.0,0.0,803.5
2003-10-25 16:19:59,1.0,1.0,803.5
2003-10-25 16:24:59,0.0,0.0,804.0
2003-10-25 16:30:00,0.0,1.0,804.0
2003-10-25 16:34:59,0.0,0.0,804.5
2003-10-25 16:39:59,0.0,1.0,804.5
2003-10-25 16:44:59,0.0,0.0,805.5
2003-10-25 16:49:59,-1.0,-1.0,805.5
2003-10-25 16:55:00,1.0,0.0,805.0
2003-10-25 16:59:59,1.0,1.0,805.0
