,y_pred,y_test,price
2008-05-15 09:19:59,-1.0,-1.0,8503.0
2008-05-15 09:25:00,-1.0,-1.0,8490.0
2008-05-15 09:29:59,1.0,0.0,8485.0
2008-05-15 09:34:59,-1.0,1.0,8485.0
2008-05-15 09:39:59,1.0,1.0,8490.0
2008-05-15 09:45:00,1.0,1.0,8492.0
2008-05-15 09:49:59,-1.0,-1.0,8500.0
2008-05-15 09:54:59,-1.0,1.0,8491.0
2008-05-15 09:59:59,1.0,0.0,8496.0
2008-05-15 10:04:59,0.0,0.0,8497.0
2008-05-15 10:10:00,-1.0,-1.0,8496.0
2008-05-15 10:14:59,1.0,-1.0,8491.0
2008-05-15 10:19:59,1.0,1.0,8482.0
2008-05-15 10:24:59,-1.0,-1.0,8485.0
2008-05-15 10:30:00,-1.0,0.0,8483.0
2008-05-15 10:34:59,-1.0,1.0,8482.0
2008-05-15 10:39:59,-1.0,-1.0,8485.0
2008-05-15 10:44:59,-1.0,0.0,8482.0
2008-05-15 10:49:59,0.0,-1.0,8483.0
2008-05-15 10:55:00,0.0,0.0,8476.0
2008-05-15 10:59:59,0.0,1.0,8477.0
2008-05-15 11:04:59,0.0,-1.0,8479.0
2008-05-15 11:09:59,0.0,0.0,8473.0
2008-05-15 11:15:00,0.0,-1.0,8473.0
2008-05-15 11:19:59,0.0,-1.0,8469.0
2008-05-15 11:24:59,0.0,1.0,8466.0
2008-05-15 11:29:59,0.0,-1.0,8469.0
2008-05-15 11:34:59,0.0,1.0,8461.0
2008-05-15 11:40:00,0.0,-1.0,8467.0
2008-05-15 11:44:59,0.0,0.0,8461.0
2008-05-15 11:49:59,0.0,-1.0,8460.0
2008-05-15 11:54:59,0.0,-1.0,8453.0
2008-05-15 12:00:00,0.0,1.0,8451.0
2008-05-15 12:04:59,0.0,1.0,8457.0
2008-05-15 12:09:59,-1.0,-1.0,8464.0
2008-05-15 12:14:59,-1.0,0.0,8461.0
2008-05-15 12:19:59,1.0,0.0,8460.0
2008-05-15 12:25:00,1.0,1.0,8461.0
2008-05-15 12:29:59,1.0,-1.0,8463.0
2008-05-15 12:34:59,0.0,1.0,8453.0
2008-05-15 12:39:59,0.0,0.0,8458.0
2008-05-15 12:45:00,0.0,0.0,8457.0
2008-05-15 12:49:59,0.0,-1.0,8457.0
2008-05-15 12:54:59,1.0,1.0,8455.0
2008-05-15 12:59:59,1.0,0.0,8457.0
2008-05-15 13:04:59,1.0,-1.0,8457.0
2008-05-15 13:10:00,1.0,1.0,8454.0
2008-05-15 13:14:59,-1.0,0.0,8457.0
2008-05-15 13:19:59,-1.0,0.0,8457.0
2008-05-15 13:24:59,-1.0,0.0,8458.0
2008-05-15 13:30:00,-1.0,0.0,8459.0
2008-05-15 13:34:59,-1.0,0.0,8458.0
2008-05-15 13:39:59,-1.0,0.0,8458.0
2008-05-15 13:44:59,-1.0,0.0,8459.0
2008-05-15 13:49:59,-1.0,-1.0,8458.0
2008-05-15 13:55:00,-1.0,-1.0,8456.0
2008-05-15 13:59:59,-1.0,1.0,8453.0
2008-05-15 14:04:59,-1.0,1.0,8459.0
2008-05-15 14:09:59,0.0,0.0,8461.0
2008-05-15 14:15:00,0.0,1.0,8462.0
2008-05-15 14:19:59,0.0,-1.0,8467.0
2008-05-15 14:24:59,0.0,1.0,8463.0
2008-05-15 14:29:59,0.0,0.0,8472.0
2008-05-15 14:34:59,0.0,0.0,8471.0
2008-05-15 14:40:00,0.0,0.0,8471.0
2008-05-15 14:44:59,0.0,0.0,8470.0
2008-05-15 14:49:59,0.0,-1.0,8470.0
2008-05-15 14:54:59,0.0,1.0,8466.0
2008-05-15 15:00:00,0.0,0.0,8469.0
2008-05-15 15:04:59,0.0,0.0,8469.0
2008-05-15 15:09:59,0.0,-1.0,8469.0
2008-05-15 15:14:59,0.0,0.0,8462.0
2008-05-15 15:19:59,0.0,0.0,8462.0
2008-05-15 15:25:00,0.0,1.0,8462.0
2008-05-15 15:29:59,0.0,0.0,8468.0
2008-05-15 15:34:59,0.0,0.0,8468.0
2008-05-15 15:39:59,0.0,-1.0,8469.0
2008-05-15 15:45:00,0.0,0.0,8467.0
2008-05-15 15:49:59,0.0,0.0,8467.0
2008-05-15 15:54:59,0.0,-1.0,8467.0
2008-05-15 15:59:59,0.0,1.0,8454.0
2008-05-15 16:04:59,0.0,-1.0,8457.0
2008-05-15 16:10:00,0.0,-1.0,8453.0
2008-05-15 16:14:59,-1.0,-1.0,8439.0
2008-05-15 16:19:59,-1.0,-1.0,8435.0
