,price,y_pred,y_test
2003-06-27 19:19:59,92.3625,0.0,0.0
2003-06-27 19:24:59,92.3625,0.0,-1.0
2003-06-27 19:30:00,92.35625,0.0,1.0
2003-06-27 19:34:59,92.3625,0.0,1.0
2003-06-27 19:39:59,92.409375,0.0,-1.0
2003-06-27 19:44:59,92.403125,0.0,1.0
2003-06-27 19:49:59,92.440625,0.0,0.0
2003-06-27 19:55:00,92.440625,0.0,0.0
2003-06-27 19:59:59,92.440625,0.0,-1.0
2003-06-27 20:04:59,92.409375,0.0,-1.0
2003-06-27 20:09:59,92.39375,0.0,-1.0
2003-06-27 20:15:00,92.3875,0.0,1.0
2003-06-27 20:19:59,92.403125,0.0,0.0
2003-06-27 20:24:59,92.403125,0.0,0.0
2003-06-27 20:29:59,92.403125,0.0,-1.0
2003-06-27 20:34:59,92.378125,0.0,-1.0
2003-06-27 20:40:00,92.371875,0.0,1.0
2003-06-27 20:44:59,92.378125,0.0,1.0
2003-06-27 20:49:59,92.403125,0.0,-1.0
2003-06-27 20:54:59,92.39375,0.0,1.0
2003-06-28 14:19:59,92.91875,0.0,1.0
2003-06-28 14:24:59,92.940625,0.0,0.0
2003-06-28 14:29:59,92.940625,0.0,0.0
2003-06-28 14:34:59,92.940625,0.0,-1.0
2003-06-28 14:40:00,92.89375,0.0,1.0
2003-06-28 14:44:59,92.91875,-1.0,-1.0
2003-06-28 14:49:59,92.89375,0.0,1.0
2003-06-28 14:54:59,92.91875,0.0,-1.0
2003-06-28 15:00:00,92.878125,0.0,1.0
2003-06-28 15:04:59,92.903125,0.0,0.0
2003-06-28 15:09:59,92.903125,0.0,-1.0
2003-06-28 15:14:59,92.8875,0.0,-1.0
2003-06-28 15:19:59,92.85625,0.0,1.0
2003-06-28 15:25:00,92.903125,-1.0,-1.0
2003-06-28 15:29:59,92.815625,-1.0,1.0
2003-06-28 15:34:59,92.825,0.0,1.0
2003-06-28 15:39:59,92.840625,-1.0,1.0
2003-06-28 15:45:00,92.85625,-1.0,-1.0
2003-06-28 15:49:59,92.8,0.0,-1.0
2003-06-28 15:54:59,92.784375,-1.0,1.0
2003-06-28 15:59:59,92.79375,-1.0,0.0
2003-06-28 16:04:59,92.79375,-1.0,-1.0
2003-06-28 16:10:00,92.784375,-1.0,1.0
2003-06-28 16:14:59,92.79375,-1.0,1.0
2003-06-28 16:19:59,92.809375,0.0,-1.0
2003-06-28 16:24:59,92.79375,0.0,-1.0
2003-06-28 16:30:00,92.7375,0.0,1.0
2003-06-28 16:34:59,92.753125,0.0,0.0
2003-06-28 16:39:59,92.753125,0.0,0.0
2003-06-28 16:44:59,92.753125,0.0,1.0
2003-06-28 16:49:59,92.79375,0.0,0.0
2003-06-28 16:55:00,92.79375,-1.0,-1.0
2003-06-28 16:59:59,92.721875,-1.0,1.0
2003-06-28 17:04:59,92.7625,-1.0,-1.0
2003-06-28 17:09:59,92.721875,-1.0,1.0
2003-06-28 17:15:00,92.7375,-1.0,0.0
2003-06-28 17:19:59,92.7375,-1.0,-1.0
2003-06-28 17:24:59,92.721875,-1.0,-1.0
2003-06-28 17:29:59,92.690625,-1.0,0.0
2003-06-28 17:34:59,92.690625,-1.0,-1.0
2003-06-28 17:40:00,92.66875,-1.0,1.0
2003-06-28 17:44:59,92.690625,-1.0,-1.0
2003-06-28 17:49:59,92.675,-1.0,-1.0
2003-06-28 17:54:59,92.653125,-1.0,1.0
2003-06-28 18:00:00,92.675,-1.0,0.0
2003-06-28 18:04:59,92.675,0.0,1.0
2003-06-28 18:09:59,92.684375,-1.0,1.0
2003-06-28 18:14:59,92.70625,-1.0,0.0
2003-06-28 18:19:59,92.70625,-1.0,0.0
2003-06-28 18:25:00,92.70625,-1.0,1.0
2003-06-28 18:29:59,92.715625,-1.0,-1.0
2003-06-28 18:34:59,92.7,-1.0,1.0
2003-06-28 18:39:59,92.715625,-1.0,0.0
2003-06-28 18:45:00,92.715625,-1.0,1.0
2003-06-28 18:49:59,92.73125,-1.0,1.0
2003-06-28 18:54:59,92.7375,0.0,1.0
2003-06-28 18:59:59,92.746875,0.0,1.0
2003-06-28 19:04:59,92.784375,0.0,0.0
2003-06-28 19:10:00,92.784375,0.0,0.0
2003-06-28 19:14:59,92.784375,0.0,-1.0
2003-06-28 19:19:59,92.778125,0.0,-1.0
2003-06-28 19:24:59,92.76875,0.0,0.0
2003-06-28 19:30:00,92.76875,-1.0,0.0
2003-06-28 19:34:59,92.76875,-1.0,-1.0
2003-06-28 19:39:59,92.753125,-1.0,1.0
2003-06-28 19:44:59,92.76875,-1.0,1.0
2003-06-28 19:49:59,92.778125,-1.0,1.0
2003-06-28 19:55:00,92.8,-1.0,0.0
2003-06-28 19:59:59,92.8,-1.0,0.0
2003-06-28 20:04:59,92.8,-1.0,1.0
2003-06-28 20:09:59,92.815625,-1.0,-1.0
2003-06-28 20:15:00,92.76875,-1.0,1.0
2003-06-28 20:19:59,92.8,-1.0,-1.0
2003-06-28 20:24:59,92.784375,-1.0,1.0
2003-06-28 20:29:59,92.79375,-1.0,1.0
2003-06-28 20:34:59,92.8,-1.0,1.0
2003-06-28 20:40:00,92.815625,-1.0,-1.0
2003-06-28 20:44:59,92.7375,-1.0,-1.0
2003-06-28 20:49:59,92.690625,-1.0,1.0
2003-06-28 20:54:59,92.7375,-1.0,-1.0
2003-06-29 14:19:59,92.596875,-1.0,1.0
2003-06-29 14:24:59,92.60625,-1.0,-1.0
2003-06-29 14:29:59,92.534375,-1.0,1.0
2003-06-29 14:34:59,92.58125,-1.0,-1.0
2003-06-29 14:40:00,92.565625,-1.0,1.0
2003-06-29 14:44:59,92.575,-1.0,1.0
2003-06-29 14:49:59,92.590625,-1.0,-1.0
2003-06-29 14:54:59,92.575,-1.0,1.0
2003-06-29 15:00:00,92.58125,-1.0,0.0
2003-06-29 15:04:59,92.58125,-1.0,1.0
2003-06-29 15:09:59,92.596875,-1.0,0.0
2003-06-29 15:14:59,92.596875,-1.0,0.0
2003-06-29 15:19:59,92.596875,-1.0,-1.0
2003-06-29 15:25:00,92.590625,-1.0,-1.0
2003-06-29 15:29:59,92.565625,-1.0,1.0
2003-06-29 15:34:59,92.590625,0.0,-1.0
2003-06-29 15:39:59,92.575,0.0,0.0
2003-06-29 15:45:00,92.575,0.0,1.0
2003-06-29 15:49:59,92.590625,-1.0,-1.0
2003-06-29 15:54:59,92.575,0.0,0.0
2003-06-29 15:59:59,92.575,-1.0,0.0
2003-06-29 16:04:59,92.575,0.0,0.0
2003-06-29 16:10:00,92.575,0.0,1.0
2003-06-29 16:14:59,92.58125,0.0,1.0
2003-06-29 16:19:59,92.596875,0.0,0.0
2003-06-29 16:24:59,92.596875,-1.0,0.0
2003-06-29 16:30:00,92.596875,0.0,0.0
2003-06-29 16:34:59,92.596875,0.0,0.0
2003-06-29 16:39:59,92.596875,-1.0,0.0
2003-06-29 16:44:59,92.596875,0.0,-1.0
2003-06-29 16:49:59,92.590625,0.0,0.0
2003-06-29 16:55:00,92.590625,0.0,1.0
2003-06-29 16:59:59,92.628125,-1.0,1.0
2003-06-29 17:04:59,92.675,0.0,1.0
2003-06-29 17:09:59,92.690625,-1.0,-1.0
2003-06-29 17:15:00,92.653125,-1.0,1.0
2003-06-29 17:19:59,92.753125,-1.0,-1.0
2003-06-29 17:24:59,92.653125,-1.0,-1.0
2003-06-29 17:29:59,92.628125,0.0,-1.0
