,price,y_pred,y_test
2002-02-18 17:04:59,53.15625,-1.0,1.0
2002-02-18 17:09:59,53.1875,-1.0,0.0
2002-02-18 17:15:00,53.1875,1.0,1.0
2002-02-18 17:19:59,53.203125,-1.0,1.0
2002-02-18 17:24:59,53.21875,-1.0,1.0
2002-02-18 17:29:59,53.234375,-1.0,-1.0
2002-02-18 17:34:59,53.21875,-1.0,1.0
2002-02-18 17:40:00,53.34375,1.0,-1.0
2002-02-18 17:44:59,53.328125,1.0,1.0
2002-02-18 17:49:59,53.34375,1.0,1.0
2002-02-18 17:54:59,53.390625,-1.0,-1.0
2002-02-18 18:00:00,53.375,-1.0,0.0
2002-02-18 18:04:59,53.375,1.0,-1.0
2002-02-18 18:09:59,53.328125,1.0,1.0
2002-02-18 18:14:59,53.359375,1.0,1.0
2002-02-18 18:19:59,53.375,1.0,-1.0
2002-02-18 18:25:00,53.34375,1.0,1.0
2002-02-18 18:29:59,53.375,1.0,0.0
2002-02-18 18:34:59,53.375,1.0,1.0
2002-02-18 18:39:59,53.390625,1.0,0.0
2002-02-18 18:45:00,53.390625,1.0,-1.0
2002-02-18 18:49:59,53.375,1.0,-1.0
2002-02-18 18:54:59,53.359375,-1.0,0.0
2002-02-18 18:59:59,53.359375,-1.0,1.0
2002-02-18 19:04:59,53.375,-1.0,0.0
2002-02-18 19:10:00,53.375,-1.0,0.0
2002-02-18 19:14:59,53.375,-1.0,0.0
2002-02-18 19:19:59,53.375,-1.0,-1.0
2002-02-22 14:19:59,53.109375,1.0,-1.0
2002-02-22 14:24:59,53.078125,1.0,-1.0
2002-02-22 14:29:59,53.0625,1.0,0.0
2002-02-22 14:34:59,53.0625,1.0,1.0
2002-02-22 14:40:00,53.109375,1.0,1.0
2002-02-22 14:44:59,53.15625,1.0,0.0
2002-02-22 14:49:59,53.15625,1.0,-1.0
2002-02-22 14:54:59,53.125,1.0,-1.0
2002-02-22 15:00:00,53.09375,1.0,0.0
2002-02-22 15:04:59,53.09375,1.0,1.0
2002-02-22 15:09:59,53.109375,1.0,0.0
2002-02-22 15:14:59,53.109375,0.0,-1.0
2002-02-22 15:19:59,53.09375,0.0,-1.0
2002-02-22 15:25:00,53.078125,0.0,1.0
2002-02-22 15:29:59,53.109375,0.0,0.0
2002-02-22 15:34:59,53.109375,1.0,1.0
2002-02-22 15:39:59,53.15625,0.0,1.0
2002-02-22 15:45:00,53.1875,1.0,1.0
2002-02-22 15:49:59,53.21875,0.0,1.0
2002-02-22 15:54:59,53.234375,0.0,0.0
2002-02-22 15:59:59,53.234375,1.0,-1.0
2002-02-22 16:04:59,53.1875,1.0,0.0
2002-02-22 16:10:00,53.1875,1.0,1.0
2002-02-22 16:14:59,53.234375,1.0,1.0
2002-02-22 16:19:59,53.265625,1.0,0.0
2002-02-22 16:24:59,53.265625,1.0,-1.0
2002-02-22 16:30:00,53.25,-1.0,-1.0
2002-02-22 16:34:59,53.21875,-1.0,1.0
2002-02-22 16:39:59,53.25,1.0,1.0
