,y_pred,y_test,price
2006-10-07 17:24:59,0.0,0.0,96.38
2006-10-07 17:29:59,0.0,0.0,96.38
2006-10-07 17:34:59,0.0,0.0,96.38
2006-10-07 17:40:00,0.0,0.0,96.38
2006-10-07 17:44:59,0.0,1.0,96.38
2006-10-07 17:49:59,-1.0,0.0,96.385
2006-10-07 17:54:59,0.0,0.0,96.385
2006-10-07 18:00:00,0.0,1.0,96.385
2006-10-07 18:04:59,0.0,-1.0,96.39
2006-10-07 18:09:59,0.0,0.0,96.385
2006-10-07 18:14:59,0.0,0.0,96.385
2006-10-07 18:19:59,0.0,-1.0,96.385
2006-10-07 18:25:00,0.0,0.0,96.38
2006-10-07 18:29:59,0.0,0.0,96.38
2006-10-07 18:34:59,0.0,0.0,96.38
2006-10-07 18:39:59,0.0,0.0,96.38
2006-10-07 18:45:00,0.0,-1.0,96.38
2006-10-07 18:49:59,0.0,0.0,96.375
2006-10-07 18:54:59,0.0,-1.0,96.375
2006-10-07 18:59:59,0.0,0.0,96.37
2006-10-07 19:04:59,0.0,0.0,96.37
2006-10-07 19:10:00,0.0,0.0,96.37
2006-10-07 19:14:59,0.0,0.0,96.37
2006-10-07 19:19:59,1.0,0.0,96.37
2006-10-07 19:24:59,-1.0,0.0,96.37
2006-10-07 19:30:00,-1.0,0.0,96.37
2006-10-07 19:34:59,1.0,0.0,96.37
2006-10-07 19:39:59,1.0,0.0,96.37
2006-10-07 19:44:59,1.0,0.0,96.37
2006-10-07 19:49:59,1.0,0.0,96.37
2006-10-07 19:55:00,0.0,0.0,96.37
2006-10-07 19:59:59,0.0,0.0,96.37
2006-10-07 20:04:59,0.0,-1.0,96.37
2006-10-07 20:09:59,1.0,0.0,96.365
2006-10-07 20:15:00,1.0,0.0,96.365
2006-10-07 20:19:59,1.0,0.0,96.365
2006-10-07 20:24:59,0.0,0.0,96.365
2006-10-07 20:29:59,0.0,0.0,96.365
2006-10-07 20:34:59,0.0,0.0,96.365
2006-10-07 20:40:00,0.0,0.0,96.365
2006-10-07 20:44:59,-1.0,0.0,96.365
2006-10-07 20:49:59,-1.0,0.0,96.365
2006-10-07 20:54:59,-1.0,0.0,96.365
2006-10-07 21:00:00,-1.0,1.0,96.365
2006-10-07 21:04:59,-1.0,0.0,96.37
2006-10-07 21:09:59,-1.0,0.0,96.37
2006-10-07 21:14:59,-1.0,0.0,96.37
2006-10-07 21:19:59,-1.0,0.0,96.37
2006-10-07 21:25:00,-1.0,0.0,96.37
2006-10-07 21:29:59,-1.0,0.0,96.37
2006-10-07 21:34:59,-1.0,0.0,96.37
2006-10-07 21:39:59,0.0,0.0,96.37
2006-10-07 21:45:00,-1.0,0.0,96.37
2006-10-07 21:49:59,-1.0,1.0,96.37
2006-10-07 21:54:59,0.0,1.0,96.375
2006-10-08 07:59:59,1.0,0.0,96.385
2006-10-08 08:04:59,-1.0,0.0,96.385
2006-10-08 08:09:59,-1.0,-1.0,96.385
2006-10-08 08:15:00,-1.0,0.0,96.38
2006-10-08 08:19:59,-1.0,1.0,96.38
2006-10-08 08:24:59,-1.0,0.0,96.385
2006-10-08 08:29:59,0.0,-1.0,96.385
2006-10-08 08:34:59,0.0,0.0,96.38
2006-10-08 08:40:00,0.0,0.0,96.38
2006-10-08 08:44:59,0.0,0.0,96.38
2006-10-08 08:49:59,0.0,0.0,96.38
2006-10-08 08:54:59,0.0,-1.0,96.38
2006-10-08 09:00:00,0.0,0.0,96.375
2006-10-08 09:04:59,0.0,-1.0,96.375
2006-10-08 09:09:59,0.0,0.0,96.37
2006-10-08 09:14:59,0.0,1.0,96.37
2006-10-08 09:19:59,0.0,-1.0,96.375
2006-10-08 09:25:00,-1.0,0.0,96.37
2006-10-08 09:29:59,-1.0,0.0,96.37
2006-10-08 09:34:59,-1.0,0.0,96.37
2006-10-08 09:39:59,-1.0,0.0,96.37
2006-10-08 09:45:00,-1.0,0.0,96.37
2006-10-08 09:49:59,-1.0,0.0,96.37
2006-10-08 09:54:59,-1.0,0.0,96.37
2006-10-08 09:59:59,-1.0,0.0,96.37
2006-10-08 10:04:59,1.0,1.0,96.37
2006-10-08 10:10:00,-1.0,0.0,96.375
2006-10-08 10:14:59,-1.0,0.0,96.375
2006-10-08 10:19:59,-1.0,-1.0,96.375
2006-10-08 10:24:59,-1.0,0.0,96.37
2006-10-08 10:30:00,1.0,0.0,96.37
2006-10-08 10:34:59,1.0,0.0,96.37
2006-10-08 10:39:59,1.0,0.0,96.37
2006-10-08 10:44:59,1.0,1.0,96.37
2006-10-08 10:49:59,1.0,0.0,96.375
2006-10-08 10:55:00,1.0,0.0,96.375
2006-10-08 10:59:59,1.0,0.0,96.375
2006-10-08 11:04:59,1.0,0.0,96.375
2006-10-08 11:09:59,1.0,-1.0,96.375
2006-10-08 11:15:00,1.0,0.0,96.37
2006-10-08 11:19:59,1.0,-1.0,96.37
2006-10-08 11:24:59,0.0,0.0,96.365
2006-10-08 11:29:59,0.0,0.0,96.365
2006-10-08 11:34:59,0.0,-1.0,96.365
2006-10-08 11:40:00,0.0,1.0,96.36
2006-10-08 11:44:59,0.0,0.0,96.365
2006-10-08 11:49:59,0.0,0.0,96.365
2006-10-08 11:54:59,0.0,0.0,96.365
2006-10-08 12:00:00,0.0,0.0,96.365
2006-10-08 12:04:59,0.0,1.0,96.365
2006-10-08 12:09:59,0.0,-1.0,96.37
2006-10-08 12:14:59,0.0,1.0,96.365
2006-10-08 12:19:59,0.0,0.0,96.37
2006-10-08 12:25:00,0.0,-1.0,96.37
2006-10-08 12:29:59,0.0,0.0,96.365
2006-10-08 12:34:59,0.0,-1.0,96.365
2006-10-08 12:39:59,0.0,1.0,96.36
2006-10-08 12:45:00,0.0,-1.0,96.365
2006-10-08 12:49:59,0.0,0.0,96.36
2006-10-08 12:54:59,0.0,0.0,96.36
2006-10-08 12:59:59,0.0,0.0,96.36
2006-10-08 13:04:59,1.0,1.0,96.36
2006-10-08 13:10:00,1.0,-1.0,96.37
2006-10-08 13:14:59,1.0,0.0,96.365
2006-10-08 13:19:59,1.0,0.0,96.365
2006-10-08 13:24:59,1.0,0.0,96.365
2006-10-08 13:30:00,1.0,0.0,96.365
2006-10-08 13:34:59,1.0,-1.0,96.365
2006-10-08 13:39:59,1.0,1.0,96.36
2006-10-08 13:44:59,1.0,0.0,96.365
2006-10-08 13:49:59,1.0,0.0,96.365
2006-10-08 13:55:00,1.0,-1.0,96.365
2006-10-08 13:59:59,0.0,0.0,96.36
2006-10-08 14:04:59,0.0,1.0,96.36
2006-10-08 14:09:59,0.0,-1.0,96.365
2006-10-08 14:15:00,0.0,1.0,96.36
2006-10-08 14:19:59,0.0,-1.0,96.365
2006-10-08 14:24:59,0.0,1.0,96.36
2006-10-08 14:29:59,0.0,0.0,96.365
2006-10-08 14:34:59,0.0,1.0,96.365
2006-10-08 14:40:00,1.0,1.0,96.39
2006-10-08 14:44:59,1.0,-1.0,96.395
2006-10-08 14:49:59,0.0,-1.0,96.385
2006-10-08 14:54:59,0.0,1.0,96.375
2006-10-08 15:00:00,0.0,-1.0,96.385
2006-10-08 15:04:59,0.0,-1.0,96.38
2006-10-08 15:09:59,0.0,-1.0,96.375
2006-10-08 15:14:59,0.0,-1.0,96.355
2006-10-08 15:19:59,0.0,1.0,96.35
2006-10-08 15:25:00,0.0,0.0,96.365
2006-10-08 15:29:59,0.0,1.0,96.365
2006-10-08 15:34:59,0.0,-1.0,96.37
2006-10-08 15:39:59,0.0,0.0,96.365
2006-10-08 15:45:00,1.0,1.0,96.365
2006-10-08 15:49:59,0.0,-1.0,96.38
2006-10-08 15:54:59,1.0,0.0,96.375
2006-10-08 15:59:59,0.0,0.0,96.375
2006-10-08 16:04:59,0.0,0.0,96.375
2006-10-08 16:10:00,0.0,0.0,96.375
2006-10-08 16:14:59,0.0,-1.0,96.375
2006-10-08 16:19:59,0.0,1.0,96.37
2006-10-08 16:24:59,0.0,-1.0,96.375
2006-10-08 16:30:00,0.0,0.0,96.37
2006-10-08 16:34:59,0.0,-1.0,96.37
2006-10-08 16:39:59,0.0,0.0,96.36
2006-10-08 16:44:59,1.0,1.0,96.36
2006-10-08 16:49:59,1.0,0.0,96.365
2006-10-08 16:55:00,1.0,-1.0,96.365
2006-10-08 16:59:59,0.0,0.0,96.36
2006-10-08 17:04:59,0.0,-1.0,96.36
2006-10-08 17:09:59,0.0,-1.0,96.355
2006-10-08 17:15:00,0.0,0.0,96.35
2006-10-08 17:19:59,0.0,0.0,96.35
2006-10-08 17:24:59,0.0,0.0,96.35
2006-10-08 17:29:59,0.0,0.0,96.35
2006-10-08 17:34:59,-1.0,0.0,96.35
2006-10-08 17:40:00,-1.0,-1.0,96.35
2006-10-08 17:44:59,-1.0,-1.0,96.345
2006-10-08 17:49:59,0.0,0.0,96.34
2006-10-08 17:54:59,0.0,0.0,96.34
2006-10-08 18:00:00,0.0,-1.0,96.34
2006-10-08 18:04:59,0.0,-1.0,96.335
2006-10-08 18:09:59,0.0,1.0,96.33
2006-10-08 18:14:59,0.0,-1.0,96.335
2006-10-08 18:19:59,0.0,1.0,96.33
2006-10-08 18:25:00,0.0,0.0,96.335
2006-10-08 18:29:59,1.0,0.0,96.335
2006-10-08 18:34:59,0.0,-1.0,96.335
2006-10-08 18:39:59,0.0,-1.0,96.33
2006-10-08 18:45:00,0.0,1.0,96.325
2006-10-08 18:49:59,0.0,-1.0,96.33
2006-10-08 18:54:59,0.0,1.0,96.325
2006-10-08 18:59:59,0.0,-1.0,96.33
2006-10-08 19:04:59,0.0,1.0,96.325
2006-10-08 19:10:00,0.0,0.0,96.33
2006-10-08 19:14:59,0.0,0.0,96.33
2006-10-08 19:19:59,0.0,0.0,96.33
2006-10-08 19:24:59,0.0,0.0,96.33
2006-10-08 19:30:00,0.0,0.0,96.33
2006-10-08 19:34:59,-1.0,0.0,96.33
2006-10-08 19:39:59,-1.0,0.0,96.33
2006-10-08 19:44:59,0.0,1.0,96.33
2006-10-08 19:49:59,1.0,-1.0,96.335
2006-10-08 19:55:00,1.0,1.0,96.33
2006-10-08 19:59:59,-1.0,0.0,96.335
2006-10-08 20:04:59,0.0,0.0,96.335
2006-10-08 20:09:59,0.0,0.0,96.335
2006-10-08 20:15:00,0.0,0.0,96.335
2006-10-08 20:19:59,0.0,0.0,96.335
2006-10-08 20:24:59,0.0,-1.0,96.335
2006-10-08 20:29:59,0.0,0.0,96.33
2006-10-08 20:34:59,0.0,0.0,96.33
2006-10-08 20:40:00,0.0,0.0,96.33
2006-10-08 20:44:59,0.0,0.0,96.33
2006-10-08 20:49:59,0.0,0.0,96.33
2006-10-08 20:54:59,0.0,-1.0,96.33
2006-10-08 21:00:00,0.0,0.0,96.325
2006-10-08 21:04:59,0.0,0.0,96.325
2006-10-08 21:09:59,0.0,0.0,96.325
2006-10-08 21:14:59,0.0,1.0,96.325
2006-10-08 21:19:59,0.0,0.0,96.33
2006-10-08 21:25:00,0.0,0.0,96.33
2006-10-08 21:29:59,1.0,-1.0,96.33
2006-10-09 07:59:59,0.0,-1.0,96.315
2006-10-09 08:04:59,0.0,1.0,96.3
2006-10-09 08:09:59,0.0,0.0,96.305
2006-10-09 08:15:00,0.0,0.0,96.305
2006-10-09 08:19:59,0.0,0.0,96.305
2006-10-09 08:24:59,1.0,-1.0,96.305
2006-10-09 08:29:59,0.0,0.0,96.3
2006-10-09 08:34:59,0.0,1.0,96.3
2006-10-09 08:40:00,0.0,1.0,96.305
2006-10-09 08:44:59,0.0,-1.0,96.31
2006-10-09 08:49:59,0.0,0.0,96.305
2006-10-09 08:54:59,0.0,1.0,96.305
2006-10-09 09:00:00,-1.0,0.0,96.31
2006-10-09 09:04:59,0.0,0.0,96.31
2006-10-09 09:09:59,0.0,0.0,96.31
2006-10-09 09:14:59,0.0,0.0,96.31
2006-10-09 09:19:59,0.0,0.0,96.31
2006-10-09 09:25:00,0.0,-1.0,96.31
2006-10-09 09:29:59,0.0,1.0,96.305
2006-10-09 09:34:59,0.0,0.0,96.31
2006-10-09 09:39:59,0.0,0.0,96.31
2006-10-09 09:45:00,0.0,-1.0,96.31
2006-10-09 09:49:59,0.0,1.0,96.305
2006-10-09 09:54:59,0.0,-1.0,96.31
2006-10-09 09:59:59,0.0,1.0,96.305
2006-10-09 10:04:59,0.0,0.0,96.31
2006-10-09 10:10:00,0.0,0.0,96.31
2006-10-09 10:14:59,0.0,0.0,96.31
2006-10-09 10:19:59,0.0,0.0,96.31
2006-10-09 10:24:59,0.0,1.0,96.31
2006-10-09 10:30:00,0.0,-1.0,96.315
2006-10-09 10:34:59,0.0,0.0,96.31
2006-10-09 10:39:59,0.0,1.0,96.31
2006-10-09 10:44:59,0.0,0.0,96.315
2006-10-09 10:49:59,0.0,0.0,96.315
2006-10-09 10:55:00,0.0,0.0,96.315
2006-10-09 10:59:59,0.0,0.0,96.315
2006-10-09 11:04:59,0.0,-1.0,96.315
2006-10-09 11:09:59,0.0,1.0,96.31
2006-10-09 11:15:00,0.0,-1.0,96.315
2006-10-09 11:19:59,0.0,0.0,96.31
2006-10-09 11:24:59,-1.0,0.0,96.31
2006-10-09 11:29:59,0.0,0.0,96.31
2006-10-09 11:34:59,0.0,0.0,96.31
2006-10-09 11:40:00,0.0,0.0,96.31
2006-10-09 11:44:59,0.0,0.0,96.31
2006-10-09 11:49:59,0.0,0.0,96.31
2006-10-09 11:54:59,0.0,0.0,96.31
2006-10-09 12:00:00,0.0,0.0,96.31
2006-10-09 12:04:59,0.0,-1.0,96.31
2006-10-09 12:09:59,0.0,0.0,96.305
2006-10-09 12:14:59,0.0,0.0,96.305
2006-10-09 12:19:59,1.0,-1.0,96.305
2006-10-09 12:25:00,0.0,0.0,96.295
2006-10-09 12:29:59,0.0,1.0,96.295
