,y_pred,y_test,price
2014-04-21 18:54:59,1.0,-1.0,86.92
2014-04-21 18:59:59,1.0,-1.0,86.91
2014-04-21 19:04:59,1.0,-1.0,86.78
2014-04-21 19:10:00,1.0,1.0,86.63
2014-04-21 19:14:59,1.0,1.0,86.68
2014-04-21 19:19:59,1.0,1.0,86.75
2014-04-21 19:24:59,1.0,-1.0,86.8
2014-04-21 19:30:00,1.0,1.0,86.78
2014-04-21 19:34:59,0.0,-1.0,86.88
2014-04-21 19:39:59,0.0,1.0,86.83
2014-04-21 19:44:59,0.0,1.0,86.92
2014-04-21 19:49:59,0.0,1.0,86.93
2014-04-21 19:55:00,0.0,1.0,87.0
2014-04-21 19:59:59,0.0,0.0,87.17
2014-04-21 20:04:59,0.0,1.0,87.17
2014-04-21 20:09:59,0.0,-1.0,87.24
2014-04-21 20:15:00,0.0,-1.0,87.21
2014-04-21 20:19:59,0.0,-1.0,87.19
2014-04-21 20:24:59,0.0,-1.0,87.0
2014-04-21 20:29:59,0.0,-1.0,86.9
2014-04-21 20:34:59,1.0,-1.0,86.88
2014-04-21 20:40:00,0.0,-1.0,86.82
2014-04-21 20:44:59,0.0,1.0,86.79
2014-04-21 20:49:59,1.0,1.0,86.83
2014-04-21 20:54:59,1.0,-1.0,86.92
2014-04-21 21:00:00,1.0,1.0,86.85
2014-04-21 21:04:59,-1.0,-1.0,86.9
2014-04-21 21:09:59,-1.0,1.0,86.89
2014-04-21 21:14:59,-1.0,-1.0,86.92
2014-04-21 21:19:59,-1.0,1.0,86.88
2014-04-21 21:25:00,-1.0,1.0,86.9
2014-04-21 21:29:59,-1.0,-1.0,86.93
2014-04-21 21:34:59,-1.0,0.0,86.92
2014-04-21 21:39:59,-1.0,0.0,86.92
2014-04-21 21:45:00,-1.0,0.0,86.92
2014-04-21 21:49:59,-1.0,-1.0,86.92
2014-04-21 21:54:59,-1.0,1.0,86.81
2014-04-21 21:59:59,-1.0,1.0,86.88
2014-04-21 22:04:59,-1.0,1.0,86.9
2014-04-21 22:10:00,-1.0,0.0,86.91
2014-04-21 22:14:59,-1.0,-1.0,86.91
2014-04-21 22:19:59,-1.0,0.0,86.89
2014-04-21 22:24:59,-1.0,1.0,86.89
2014-04-21 22:30:00,-1.0,-1.0,86.92
2014-04-21 22:34:59,-1.0,0.0,86.91
2014-04-21 22:39:59,-1.0,0.0,86.91
2014-04-21 22:44:59,-1.0,0.0,86.91
2014-04-21 22:49:59,-1.0,0.0,86.91
2014-04-21 22:55:00,-1.0,1.0,86.91
2014-04-21 22:59:59,-1.0,0.0,86.96
2014-04-21 23:04:59,-1.0,1.0,86.96
2014-04-21 23:09:59,-1.0,1.0,87.0
2014-04-24 01:30:00,-1.0,0.0,87.08
2014-04-24 01:34:59,-1.0,0.0,87.08
2014-04-24 01:39:59,-1.0,0.0,87.08
2014-04-24 01:44:59,-1.0,-1.0,87.08
2014-04-24 01:49:59,-1.0,0.0,86.96
2014-04-24 01:55:00,-1.0,1.0,86.96
2014-04-24 01:59:59,-1.0,-1.0,87.02
2014-04-24 02:04:59,-1.0,0.0,86.97
2014-04-24 02:09:59,-1.0,-1.0,86.97
2014-04-24 02:15:00,-1.0,1.0,86.96
2014-04-24 02:19:59,-1.0,0.0,86.98
2014-04-24 02:24:59,-1.0,-1.0,86.98
2014-04-24 02:29:59,-1.0,1.0,86.92
2014-04-24 02:34:59,-1.0,0.0,86.93
2014-04-24 02:40:00,-1.0,0.0,86.93
2014-04-24 02:44:59,-1.0,1.0,86.93
2014-04-24 02:49:59,-1.0,1.0,87.03
