,y_pred,y_test,price
2007-03-16 17:15:00,-1.0,1.0,3263.0
2007-03-16 17:19:59,-1.0,1.0,3269.0
2007-03-16 17:24:59,-1.0,1.0,3270.0
2007-03-16 17:29:59,-1.0,-1.0,3274.0
2007-03-16 17:34:59,-1.0,1.0,3273.0
2007-03-16 17:40:00,-1.0,-1.0,3275.0
2007-03-16 17:44:59,-1.0,1.0,3272.0
2007-03-16 17:49:59,1.0,0.0,3273.0
2007-03-16 17:54:59,1.0,-1.0,3273.0
2007-03-16 18:00:00,1.0,0.0,3272.0
2007-03-16 18:04:59,1.0,1.0,3272.0
2007-03-16 18:09:59,1.0,1.0,3273.0
2007-03-16 18:14:59,1.0,1.0,3274.0
2007-03-16 18:19:59,1.0,0.0,3275.0
2007-03-16 18:25:00,1.0,-1.0,3275.0
2007-03-16 18:29:59,1.0,0.0,3274.0
2007-03-16 18:34:59,1.0,-1.0,3274.0
2007-03-16 18:39:59,1.0,1.0,3272.0
2007-03-16 18:45:00,1.0,1.0,3274.0
2007-03-16 18:49:59,-1.0,-1.0,3275.0
2007-03-16 18:54:59,-1.0,-1.0,3274.0
2007-03-16 18:59:59,-1.0,0.0,3273.0
2007-03-16 19:04:59,-1.0,1.0,3273.0
2007-03-16 19:10:00,-1.0,1.0,3277.0
2007-03-16 19:14:59,-1.0,1.0,3280.0
2007-03-16 19:19:59,1.0,0.0,3281.0
2007-03-16 19:24:59,-1.0,-1.0,3281.0
2007-03-16 19:30:00,-1.0,-1.0,3279.0
2007-03-16 19:34:59,-1.0,1.0,3277.0
2007-03-16 19:39:59,-1.0,1.0,3279.0
2007-03-16 19:44:59,1.0,-1.0,3280.0
2007-03-16 19:49:59,1.0,-1.0,3278.0
2007-03-16 19:55:00,-1.0,0.0,3275.0
2007-03-16 19:59:59,-1.0,0.0,3275.0
2007-03-16 20:04:59,-1.0,0.0,3275.0
2007-03-16 20:09:59,1.0,1.0,3275.0
2007-03-16 20:15:00,1.0,1.0,3276.0
2007-03-16 20:19:59,1.0,1.0,3279.0
2007-03-16 20:24:59,1.0,-1.0,3281.0
2007-03-16 20:29:59,-1.0,1.0,3279.0
2007-03-16 20:34:59,-1.0,0.0,3280.0
2007-03-16 20:40:00,-1.0,1.0,3280.0
2007-03-16 20:44:59,-1.0,-1.0,3281.0
2007-03-16 20:49:59,-1.0,-1.0,3280.0
2007-03-16 20:54:59,-1.0,1.0,3279.0
2007-03-16 21:00:00,-1.0,0.0,3280.0
2007-03-16 21:04:59,1.0,0.0,3280.0
2007-03-16 21:09:59,1.0,0.0,3280.0
2007-03-16 21:14:59,1.0,0.0,3280.0
2007-03-16 21:19:59,-1.0,1.0,3280.0
2007-03-16 21:25:00,1.0,1.0,3281.0
2007-03-16 21:29:59,-1.0,0.0,3282.0
2007-03-16 21:34:59,1.0,1.0,3282.0
2007-03-16 21:39:59,1.0,-1.0,3283.0
2007-03-16 21:45:00,-1.0,1.0,3282.0
2007-03-16 21:49:59,1.0,0.0,3283.0
2007-03-16 21:54:59,-1.0,1.0,3283.0
2007-03-17 09:00:00,-1.0,1.0,3284.0
2007-03-17 09:04:59,-1.0,1.0,3288.0
2007-03-17 09:09:59,-1.0,-1.0,3289.0
2007-03-17 09:14:59,0.0,0.0,3282.0
2007-03-17 09:19:59,-1.0,1.0,3282.0
2007-03-17 09:25:00,-1.0,-1.0,3286.0
2007-03-17 09:29:59,-1.0,-1.0,3284.0
