,price,y_pred,y_test
2007-04-29 08:49:59,10593.0,0.0,1.0
2007-04-29 08:54:59,10596.0,0.0,-1.0
2007-04-29 09:00:00,10595.0,0.0,-1.0
2007-04-29 09:04:59,10594.0,0.0,1.0
2007-04-29 09:09:59,10596.0,0.0,-1.0
2007-04-29 09:14:59,10594.0,0.0,1.0
2007-04-29 09:19:59,10595.0,0.0,0.0
2007-04-29 09:25:00,10595.0,0.0,1.0
2007-04-29 09:29:59,10596.0,0.0,0.0
2007-04-29 09:34:59,10596.0,0.0,0.0
2007-04-29 09:39:59,10596.0,0.0,1.0
2007-04-29 09:45:00,10598.0,0.0,-1.0
2007-04-29 09:49:59,10596.0,0.0,0.0
2007-04-29 09:54:59,10596.0,0.0,-1.0
2007-04-29 09:59:59,10593.0,0.0,1.0
2007-04-29 10:04:59,10594.0,0.0,1.0
2007-04-29 10:10:00,10595.0,0.0,-1.0
2007-04-29 10:14:59,10587.0,0.0,-1.0
2007-04-29 10:19:59,10583.0,0.0,1.0
2007-04-29 10:24:59,10584.0,0.0,1.0
2007-04-29 10:30:00,10588.0,0.0,-1.0
2007-04-29 10:34:59,10586.0,0.0,-1.0
2007-04-29 10:39:59,10583.0,0.0,1.0
2007-04-29 10:44:59,10585.0,0.0,-1.0
2007-04-29 10:49:59,10582.0,0.0,0.0
2007-04-29 10:55:00,10582.0,0.0,1.0
2007-04-29 10:59:59,10583.0,0.0,-1.0
2007-04-29 11:04:59,10581.0,0.0,1.0
2007-04-29 11:09:59,10583.0,0.0,0.0
2007-04-29 11:15:00,10583.0,0.0,-1.0
2007-04-29 11:19:59,10581.0,0.0,-1.0
2007-04-29 11:24:59,10579.0,1.0,0.0
2007-04-29 11:29:59,10579.0,0.0,-1.0
2007-04-29 11:34:59,10578.0,1.0,1.0
2007-04-29 11:40:00,10579.0,1.0,-1.0
2007-04-29 11:44:59,10574.0,1.0,0.0
2007-04-29 11:49:59,10574.0,0.0,-1.0
2007-04-29 11:54:59,10572.0,1.0,-1.0
2007-04-29 12:00:00,10557.0,1.0,-1.0
2007-04-29 12:04:59,10547.0,0.0,1.0
2007-04-29 12:09:59,10552.0,0.0,-1.0
2007-04-29 12:14:59,10539.0,-1.0,1.0
2007-04-29 12:19:59,10544.0,-1.0,1.0
2007-04-29 12:25:00,10548.0,-1.0,0.0
2007-04-29 12:29:59,10548.0,-1.0,-1.0
2007-04-29 12:34:59,10544.0,-1.0,1.0
2007-04-29 12:39:59,10545.0,-1.0,-1.0
2007-04-29 12:45:00,10544.0,-1.0,-1.0
2007-04-29 12:49:59,10541.0,-1.0,1.0
2007-04-29 12:54:59,10544.0,-1.0,-1.0
2007-04-29 12:59:59,10542.0,-1.0,-1.0
2007-04-29 13:04:59,10540.0,1.0,-1.0
2007-04-29 13:10:00,10539.0,-1.0,1.0
2007-04-29 13:14:59,10548.0,-1.0,-1.0
2007-04-29 13:19:59,10544.0,1.0,1.0
2007-04-29 13:24:59,10548.0,1.0,0.0
2007-04-29 13:30:00,10548.0,1.0,1.0
2007-04-29 13:34:59,10549.0,1.0,-1.0
2007-04-29 13:39:59,10546.0,1.0,-1.0
2007-04-29 13:44:59,10544.0,1.0,0.0
2007-04-29 13:49:59,10544.0,1.0,0.0
2007-04-29 13:55:00,10544.0,1.0,0.0
2007-04-29 13:59:59,10544.0,1.0,-1.0
2007-04-29 14:04:59,10539.0,1.0,-1.0
2007-04-29 14:09:59,10526.0,1.0,1.0
2007-04-29 14:15:00,10530.0,1.0,1.0
2007-04-29 14:19:59,10535.0,1.0,-1.0
2007-04-29 14:24:59,10531.0,1.0,1.0
2007-04-29 14:29:59,10542.0,1.0,1.0
2007-04-29 14:34:59,10545.0,1.0,-1.0
2007-04-29 14:40:00,10539.0,1.0,-1.0
2007-04-29 14:44:59,10537.0,-1.0,-1.0
2007-04-29 14:49:59,10536.0,-1.0,-1.0
2007-04-29 14:54:59,10534.0,-1.0,-1.0
2007-04-29 15:00:00,10533.0,-1.0,1.0
2007-04-29 15:04:59,10534.0,-1.0,1.0
2007-04-29 15:09:59,10536.0,-1.0,0.0
2007-04-29 15:14:59,10536.0,-1.0,1.0
2007-04-29 15:19:59,10539.0,-1.0,-1.0
2007-04-29 15:25:00,10534.0,-1.0,-1.0
2007-04-29 15:29:59,10526.0,1.0,-1.0
2007-04-29 15:34:59,10517.0,1.0,1.0
2007-04-29 15:39:59,10523.0,-1.0,1.0
2007-04-29 15:45:00,10540.0,1.0,-1.0
2007-04-29 15:49:59,10534.0,1.0,1.0
2007-04-29 15:54:59,10536.0,1.0,1.0
2007-04-29 15:59:59,10585.0,1.0,1.0
2007-04-29 16:04:59,10608.0,-1.0,1.0
2007-04-29 16:10:00,10616.0,-1.0,-1.0
2007-04-29 16:14:59,10593.0,-1.0,-1.0
2007-04-29 16:19:59,10583.0,-1.0,-1.0
2007-04-29 16:24:59,10575.0,-1.0,-1.0
2007-04-29 16:30:00,10550.0,-1.0,1.0
2007-04-29 16:34:59,10554.0,-1.0,-1.0
2007-04-29 16:39:59,10552.0,-1.0,1.0
2007-04-29 16:44:59,10571.0,-1.0,1.0
2007-04-29 16:49:59,10587.0,-1.0,-1.0
2007-04-29 16:55:00,10582.0,-1.0,1.0
2007-04-29 16:59:59,10586.0,-1.0,1.0
2007-04-29 17:04:59,10599.0,-1.0,1.0
2007-04-29 17:09:59,10611.0,-1.0,-1.0
2007-04-29 17:15:00,10600.0,-1.0,1.0
2007-04-29 17:19:59,10629.0,-1.0,-1.0
2007-04-29 17:24:59,10626.0,-1.0,-1.0
2007-04-29 17:29:59,10617.0,-1.0,-1.0
